parent_residue,child_residue,lift_remainder,sibling_role,phase_margin,aperture_tension,phase_rank,transition_label,component_delta,parent_uncovered_exact,child_covered_exact,child_projects_to_parent,parent_gap_count_exact,child_gap_count_exact,exact_b8_birth
90926,5706536,0,sibling_nonbirth,-44/133,44/133,14,miss,0,True,False,True,1,1,False
90926,5196026,1,sibling_nonbirth,-37/133,37/133,12,miss,0,True,False,True,1,1,False
90926,4685516,2,sibling_nonbirth,-30/133,30/133,10,miss,0,True,False,True,1,1,False
90926,4175006,3,sibling_nonbirth,-23/133,23/133,8,miss,0,True,False,True,1,1,False
90926,3664496,4,sibling_nonbirth,-16/133,16/133,6,miss,0,True,False,True,1,1,False
90926,3153986,5,sibling_nonbirth,-9/133,9/133,4,miss,0,True,False,True,1,1,False
90926,2643476,6,sibling_nonbirth,-2/133,2/133,2,miss,0,True,False,True,1,1,False
90926,2132966,7,birth_close,1/247,-1/247,1,close,-1,True,True,True,1,0,True
90926,1622456,8,sibling_nonbirth,-12/247,12/247,3,miss,0,True,False,True,1,1,False
90926,1111946,9,sibling_nonbirth,-25/247,25/247,5,miss,0,True,False,True,1,1,False
90926,601436,10,sibling_nonbirth,-2/13,2/13,7,miss,0,True,False,True,1,1,False
90926,90926,11,sibling_nonbirth,-51/247,51/247,9,miss,0,True,False,True,1,1,False
90926,9280106,12,sibling_nonbirth,-64/247,64/247,11,miss,0,True,False,True,1,1,False
90926,8769596,13,sibling_nonbirth,-77/247,77/247,13,miss,0,True,False,True,1,1,False
90926,8259086,14,sibling_nonbirth,-90/247,90/247,15,miss,0,True,False,True,1,1,False
90926,7748576,15,sibling_nonbirth,-103/247,103/247,17,miss,0,True,False,True,1,1,False
90926,7238066,16,sibling_nonbirth,-116/247,116/247,19,miss,0,True,False,True,1,1,False
90926,6727556,17,sibling_nonbirth,-58/133,58/133,18,miss,0,True,False,True,1,1,False
90926,6217046,18,sibling_nonbirth,-51/133,51/133,16,miss,0,True,False,True,1,1,False
95728,3158788,0,sibling_nonbirth,-60/247,60/247,10,miss,0,True,False,True,1,1,False
95728,2648278,1,sibling_nonbirth,-73/247,73/247,12,miss,0,True,False,True,1,1,False
95728,2137768,2,sibling_nonbirth,-86/247,86/247,14,miss,0,True,False,True,1,1,False
95728,1627258,3,sibling_nonbirth,-99/247,99/247,16,miss,0,True,False,True,1,1,False
95728,1116748,4,sibling_nonbirth,-112/247,112/247,18,miss,0,True,False,True,1,1,False
95728,606238,5,sibling_nonbirth,-35/76,35/76,19,miss,0,True,False,True,1,1,False
95728,95728,6,sibling_nonbirth,-31/76,31/76,17,miss,0,True,False,True,1,1,False
95728,9284908,7,sibling_nonbirth,-27/76,27/76,15,miss,0,True,False,True,1,1,False
95728,8774398,8,sibling_nonbirth,-23/76,23/76,13,miss,0,True,False,True,1,1,False
95728,8263888,9,sibling_nonbirth,-1/4,1/4,11,miss,0,True,False,True,1,1,False
95728,7753378,10,sibling_nonbirth,-15/76,15/76,9,miss,0,True,False,True,1,1,False
95728,7242868,11,sibling_nonbirth,-11/76,11/76,7,miss,0,True,False,True,1,1,False
95728,6732358,12,sibling_nonbirth,-7/76,7/76,5,miss,0,True,False,True,1,1,False
95728,6221848,13,sibling_nonbirth,-3/76,3/76,3,miss,0,True,False,True,1,1,False
95728,5711338,14,birth_close,1/76,-1/76,1,close,-1,True,True,True,1,0,True
95728,5200828,15,sibling_nonbirth,-8/247,8/247,2,miss,0,True,False,True,1,1,False
95728,4690318,16,sibling_nonbirth,-21/247,21/247,4,miss,0,True,False,True,1,1,False
95728,4179808,17,sibling_nonbirth,-34/247,34/247,6,miss,0,True,False,True,1,1,False
95728,3669298,18,sibling_nonbirth,-47/247,47/247,8,miss,0,True,False,True,1,1,False
101968,7249108,0,sibling_nonbirth,-60/247,60/247,10,miss,0,True,False,True,1,1,False
101968,6738598,1,sibling_nonbirth,-73/247,73/247,12,miss,0,True,False,True,1,1,False
101968,6228088,2,sibling_nonbirth,-86/247,86/247,14,miss,0,True,False,True,1,1,False
101968,5717578,3,sibling_nonbirth,-99/247,99/247,16,miss,0,True,False,True,1,1,False
101968,5207068,4,sibling_nonbirth,-112/247,112/247,18,miss,0,True,False,True,1,1,False
101968,4696558,5,sibling_nonbirth,-35/76,35/76,19,miss,0,True,False,True,1,1,False
101968,4186048,6,sibling_nonbirth,-31/76,31/76,17,miss,0,True,False,True,1,1,False
101968,3675538,7,sibling_nonbirth,-27/76,27/76,15,miss,0,True,False,True,1,1,False
101968,3165028,8,sibling_nonbirth,-23/76,23/76,13,miss,0,True,False,True,1,1,False
101968,2654518,9,sibling_nonbirth,-1/4,1/4,11,miss,0,True,False,True,1,1,False
101968,2144008,10,sibling_nonbirth,-15/76,15/76,9,miss,0,True,False,True,1,1,False
101968,1633498,11,sibling_nonbirth,-11/76,11/76,7,miss,0,True,False,True,1,1,False
101968,1122988,12,sibling_nonbirth,-7/76,7/76,5,miss,0,True,False,True,1,1,False
101968,612478,13,sibling_nonbirth,-3/76,3/76,3,miss,0,True,False,True,1,1,False
101968,101968,14,birth_close,1/76,-1/76,1,close,-1,True,True,True,1,0,True
101968,9291148,15,sibling_nonbirth,-8/247,8/247,2,miss,0,True,False,True,1,1,False
101968,8780638,16,sibling_nonbirth,-21/247,21/247,4,miss,0,True,False,True,1,1,False
101968,8270128,17,sibling_nonbirth,-34/247,34/247,6,miss,0,True,False,True,1,1,False
101968,7759618,18,sibling_nonbirth,-47/247,47/247,8,miss,0,True,False,True,1,1,False
102904,102904,0,sibling_nonbirth,-44/133,44/133,14,miss,0,True,False,True,1,1,False
102904,9292084,1,sibling_nonbirth,-51/133,51/133,16,miss,0,True,False,True,1,1,False
102904,8781574,2,sibling_nonbirth,-58/133,58/133,18,miss,0,True,False,True,1,1,False
102904,8271064,3,sibling_nonbirth,-116/247,116/247,19,miss,0,True,False,True,1,1,False
102904,7760554,4,sibling_nonbirth,-103/247,103/247,17,miss,0,True,False,True,1,1,False
102904,7250044,5,sibling_nonbirth,-90/247,90/247,15,miss,0,True,False,True,1,1,False
102904,6739534,6,sibling_nonbirth,-77/247,77/247,13,miss,0,True,False,True,1,1,False
102904,6229024,7,sibling_nonbirth,-64/247,64/247,11,miss,0,True,False,True,1,1,False
102904,5718514,8,sibling_nonbirth,-51/247,51/247,9,miss,0,True,False,True,1,1,False
102904,5208004,9,sibling_nonbirth,-2/13,2/13,7,miss,0,True,False,True,1,1,False
102904,4697494,10,sibling_nonbirth,-25/247,25/247,5,miss,0,True,False,True,1,1,False
102904,4186984,11,sibling_nonbirth,-12/247,12/247,3,miss,0,True,False,True,1,1,False
102904,3676474,12,birth_close,1/247,-1/247,1,close,-1,True,True,True,1,0,True
102904,3165964,13,sibling_nonbirth,-2/133,2/133,2,miss,0,True,False,True,1,1,False
102904,2655454,14,sibling_nonbirth,-9/133,9/133,4,miss,0,True,False,True,1,1,False
102904,2144944,15,sibling_nonbirth,-16/133,16/133,6,miss,0,True,False,True,1,1,False
102904,1634434,16,sibling_nonbirth,-23/133,23/133,8,miss,0,True,False,True,1,1,False
102904,1123924,17,sibling_nonbirth,-30/133,30/133,10,miss,0,True,False,True,1,1,False
102904,613414,18,sibling_nonbirth,-37/133,37/133,12,miss,0,True,False,True,1,1,False
111362,1642892,0,sibling_nonbirth,-60/247,60/247,10,miss,0,True,False,True,1,1,False
111362,1132382,1,sibling_nonbirth,-47/247,47/247,8,miss,0,True,False,True,1,1,False
111362,621872,2,sibling_nonbirth,-34/247,34/247,6,miss,0,True,False,True,1,1,False
111362,111362,3,sibling_nonbirth,-21/247,21/247,4,miss,0,True,False,True,1,1,False
111362,9300542,4,sibling_nonbirth,-8/247,8/247,2,miss,0,True,False,True,1,1,False
111362,8790032,5,birth_close,1/76,-1/76,1,close,-1,True,True,True,1,0,True
111362,8279522,6,sibling_nonbirth,-3/76,3/76,3,miss,0,True,False,True,1,1,False
111362,7769012,7,sibling_nonbirth,-7/76,7/76,5,miss,0,True,False,True,1,1,False
111362,7258502,8,sibling_nonbirth,-11/76,11/76,7,miss,0,True,False,True,1,1,False
111362,6747992,9,sibling_nonbirth,-15/76,15/76,9,miss,0,True,False,True,1,1,False
111362,6237482,10,sibling_nonbirth,-1/4,1/4,11,miss,0,True,False,True,1,1,False
111362,5726972,11,sibling_nonbirth,-23/76,23/76,13,miss,0,True,False,True,1,1,False
111362,5216462,12,sibling_nonbirth,-27/76,27/76,15,miss,0,True,False,True,1,1,False
111362,4705952,13,sibling_nonbirth,-31/76,31/76,17,miss,0,True,False,True,1,1,False
111362,4195442,14,sibling_nonbirth,-35/76,35/76,19,miss,0,True,False,True,1,1,False
111362,3684932,15,sibling_nonbirth,-112/247,112/247,18,miss,0,True,False,True,1,1,False
111362,3174422,16,sibling_nonbirth,-99/247,99/247,16,miss,0,True,False,True,1,1,False
111362,2663912,17,sibling_nonbirth,-86/247,86/247,14,miss,0,True,False,True,1,1,False
111362,2153402,18,sibling_nonbirth,-73/247,73/247,12,miss,0,True,False,True,1,1,False
118772,1650302,0,sibling_nonbirth,-60/247,60/247,10,miss,0,True,False,True,1,1,False
118772,1139792,1,sibling_nonbirth,-47/247,47/247,8,miss,0,True,False,True,1,1,False
118772,629282,2,sibling_nonbirth,-34/247,34/247,6,miss,0,True,False,True,1,1,False
118772,118772,3,sibling_nonbirth,-21/247,21/247,4,miss,0,True,False,True,1,1,False
118772,9307952,4,sibling_nonbirth,-8/247,8/247,2,miss,0,True,False,True,1,1,False
118772,8797442,5,birth_close,1/76,-1/76,1,close,-1,True,True,True,1,0,True
118772,8286932,6,sibling_nonbirth,-3/76,3/76,3,miss,0,True,False,True,1,1,False
118772,7776422,7,sibling_nonbirth,-7/76,7/76,5,miss,0,True,False,True,1,1,False
118772,7265912,8,sibling_nonbirth,-11/76,11/76,7,miss,0,True,False,True,1,1,False
118772,6755402,9,sibling_nonbirth,-15/76,15/76,9,miss,0,True,False,True,1,1,False
118772,6244892,10,sibling_nonbirth,-1/4,1/4,11,miss,0,True,False,True,1,1,False
118772,5734382,11,sibling_nonbirth,-23/76,23/76,13,miss,0,True,False,True,1,1,False
118772,5223872,12,sibling_nonbirth,-27/76,27/76,15,miss,0,True,False,True,1,1,False
118772,4713362,13,sibling_nonbirth,-31/76,31/76,17,miss,0,True,False,True,1,1,False
118772,4202852,14,sibling_nonbirth,-35/76,35/76,19,miss,0,True,False,True,1,1,False
118772,3692342,15,sibling_nonbirth,-112/247,112/247,18,miss,0,True,False,True,1,1,False
118772,3181832,16,sibling_nonbirth,-99/247,99/247,16,miss,0,True,False,True,1,1,False
118772,2671322,17,sibling_nonbirth,-86/247,86/247,14,miss,0,True,False,True,1,1,False
118772,2160812,18,sibling_nonbirth,-73/247,73/247,12,miss,0,True,False,True,1,1,False
121701,3184761,0,sibling_nonbirth,-42/209,42/209,9,miss,0,True,False,True,1,1,False
121701,2674251,1,sibling_nonbirth,-53/209,53/209,11,miss,0,True,False,True,1,1,False
121701,2163741,2,sibling_nonbirth,-64/209,64/209,13,miss,0,True,False,True,1,1,False
121701,1653231,3,sibling_nonbirth,-75/209,75/209,15,miss,0,True,False,True,1,1,False
121701,1142721,4,sibling_nonbirth,-86/209,86/209,17,miss,0,True,False,True,1,1,False
121701,632211,5,sibling_nonbirth,-97/209,97/209,19,miss,0,True,False,True,1,1,False
121701,121701,6,sibling_nonbirth,-59/133,59/133,18,miss,0,True,False,True,1,1,False
121701,9310881,7,sibling_nonbirth,-52/133,52/133,16,miss,0,True,False,True,1,1,False
121701,8800371,8,sibling_nonbirth,-45/133,45/133,14,miss,0,True,False,True,1,1,False
121701,8289861,9,sibling_nonbirth,-2/7,2/7,12,miss,0,True,False,True,1,1,False
