scope,birth_parent_residue,child_residue,new_prime_remainder,is_birth,is_close,final_transition_label,transition_sequence,component_delta_sequence,phase_remainder_sequence
B5_birth_parent_siblings,118,1798,5,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>6>5
B5_birth_parent_siblings,118,2008,6,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>6>6
B5_birth_parent_siblings,118,2218,7,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>6>7
B5_birth_parent_siblings,122,122,1,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>3>1
B5_birth_parent_siblings,122,332,2,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>3>2
B5_birth_parent_siblings,122,542,3,True,True,close,start>trim>trim>miss>close,0>0>0>0>-1,0>2>2>3>3
B5_birth_parent_siblings,122,752,4,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>3>4
B5_birth_parent_siblings,122,962,5,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>3>5
B5_birth_parent_siblings,122,1172,6,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>3>6
B5_birth_parent_siblings,122,1382,7,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>3>7
B5_birth_parent_siblings,122,1592,8,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>3>8
B5_birth_parent_siblings,122,1802,9,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>3>9
B5_birth_parent_siblings,122,2012,10,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>3>10
B5_birth_parent_siblings,122,2222,0,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>3>0
B5_birth_parent_siblings,148,148,5,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>1>5
B5_birth_parent_siblings,148,358,6,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>1>6
B5_birth_parent_siblings,148,568,7,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>1>7
B5_birth_parent_siblings,148,778,8,True,True,close,start>trim>trim>miss>close,0>0>0>0>-1,0>1>3>1>8
B5_birth_parent_siblings,148,988,9,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>1>9
B5_birth_parent_siblings,148,1198,10,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>1>10
B5_birth_parent_siblings,148,1408,0,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>1>0
B5_birth_parent_siblings,148,1618,1,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>1>1
B5_birth_parent_siblings,148,1828,2,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>1>2
B5_birth_parent_siblings,148,2038,3,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>1>3
