birth_k,birth_residue,parent_residue,new_prime,new_prime_remainder,prefinal_gap_count,prefinal_gap_endpoints,prefinal_gap_width,new_arc_width,aperture_margin,containment_margin
7,190149,9969,17,4,1,3/14-5/22,1/77,1/17,60/1309,1/119
7,190941,10761,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,191770,11590,17,10,1,15/26-13/22,2/143,1/17,109/2431,4/221
7,191841,11661,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,191936,11756,17,6,1,9/26-5/14,1/91,1/17,74/1547,5/221
7,192826,12646,17,12,1,15/22-19/26,7/143,1/17,24/2431,1/221
7,192861,12681,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,193599,13419,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,193719,13539,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,194229,14049,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,195411,15231,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,195692,15512,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,197289,17109,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,197571,17391,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,198471,18291,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,198981,18801,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,200859,20679,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,202108,21928,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,202322,22142,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,202551,22371,17,13,1,17/22-11/14,1/77,1/17,60/1309,1/119
7,204081,23901,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,204201,24021,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,204429,24249,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,205449,25269,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,206121,25941,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,206859,26679,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,207999,27819,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,208534,28354,17,12,1,15/22-7/10,1/55,1/17,38/935,1/187
7,209427,29247,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
