birth_k,birth_residue,birth_parent_residue,birth_new_prime,birth_new_prime_remainder,layer_k,layer_prime,layer_modulus,layer_residue,residue_gcd_with_modulus,zero_center_available,origin_component_present,residual_component_count,uncovered_measure_fraction,residual_component_endpoints,transition_label,transition_component_delta,transition_touched_component_count,transition_closed_component_count,is_final_birth_layer,is_zero_residual_state
5,1108,58,11,8,4,7,210,58,2,True,False,1,1/20,7/10-3/4,miss,0,0,0,False,False
5,1108,58,11,8,5,11,2310,1108,2,True,False,0,0,,close,-1,1,1,True,True
5,1202,152,11,3,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
5,1202,152,11,3,2,3,6,2,2,True,False,1,1/4,1/4-1/2,trim,0,1,0,False,False
5,1202,152,11,3,3,5,30,2,2,True,False,1,1/20,1/4-3/10,trim,0,1,0,False,False
5,1202,152,11,3,4,7,210,152,2,True,False,1,1/20,1/4-3/10,miss,0,0,0,False,False
5,1202,152,11,3,5,11,2310,1202,2,True,False,0,0,,close,-1,1,1,True,True
5,1438,178,11,8,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
5,1438,178,11,8,2,3,6,4,2,True,False,1,1/4,1/2-3/4,trim,0,1,0,False,False
5,1438,178,11,8,3,5,30,28,2,True,False,1,1/20,7/10-3/4,trim,0,1,0,False,False
5,1438,178,11,8,4,7,210,178,2,True,False,1,1/20,7/10-3/4,miss,0,0,0,False,False
5,1438,178,11,8,5,11,2310,1438,2,True,False,0,0,,close,-1,1,1,True,True
5,1461,201,11,9,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
5,1461,201,11,9,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
5,1461,201,11,9,3,5,30,21,3,True,False,1,1/12,3/4-5/6,partial_close,-1,1,1,False,False
5,1461,201,11,9,4,7,210,201,3,True,False,1,1/21,11/14-5/6,trim,0,1,0,False,False
5,1461,201,11,9,5,11,2310,1461,3,True,False,0,0,,close,-1,1,1,True,True
5,1532,62,11,3,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
5,1532,62,11,3,2,3,6,2,2,True,False,1,1/4,1/4-1/2,trim,0,1,0,False,False
5,1532,62,11,3,3,5,30,2,2,True,False,1,1/20,1/4-3/10,trim,0,1,0,False,False
5,1532,62,11,3,4,7,210,62,2,True,False,1,1/20,1/4-3/10,miss,0,0,0,False,False
5,1532,62,11,3,5,11,2310,1532,2,True,False,0,0,,close,-1,1,1,True,True
5,1768,88,11,8,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
5,1768,88,11,8,2,3,6,4,2,True,False,1,1/4,1/2-3/4,trim,0,1,0,False,False
5,1768,88,11,8,3,5,30,28,2,True,False,1,1/20,7/10-3/4,trim,0,1,0,False,False
5,1768,88,11,8,4,7,210,88,2,True,False,1,1/20,7/10-3/4,miss,0,0,0,False,False
5,1768,88,11,8,5,11,2310,1768,2,True,False,0,0,,close,-1,1,1,True,True
5,1862,182,11,3,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
5,1862,182,11,3,2,3,6,2,2,True,False,1,1/4,1/4-1/2,trim,0,1,0,False,False
5,1862,182,11,3,3,5,30,2,2,True,False,1,1/20,1/4-3/10,trim,0,1,0,False,False
5,1862,182,11,3,4,7,210,182,14,True,False,1,1/20,1/4-3/10,miss,0,0,0,False,False
5,1862,182,11,3,5,11,2310,1862,14,True,False,0,0,,close,-1,1,1,True,True
5,2192,92,11,3,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
5,2192,92,11,3,2,3,6,2,2,True,False,1,1/4,1/4-1/2,trim,0,1,0,False,False
5,2192,92,11,3,3,5,30,2,2,True,False,1,1/20,1/4-3/10,trim,0,1,0,False,False
5,2192,92,11,3,4,7,210,92,2,True,False,1,1/20,1/4-3/10,miss,0,0,0,False,False
5,2192,92,11,3,5,11,2310,2192,2,True,False,0,0,,close,-1,1,1,True,True
6,939,939,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,939,939,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,939,939,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,939,939,13,3,4,7,210,99,3,True,False,1,1/28,3/14-1/4,trim,0,1,0,False,False
6,939,939,13,3,5,11,2310,939,3,True,False,1,1/28,3/14-1/4,miss,0,0,0,False,False
6,939,939,13,3,6,13,30030,939,3,True,False,0,0,,close,-1,1,1,True,True
6,1791,1791,13,10,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,1791,1791,13,10,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,1791,1791,13,10,3,5,30,21,3,True,False,1,1/12,3/4-5/6,partial_close,-1,1,1,False,False
6,1791,1791,13,10,4,7,210,111,3,True,False,1,1/28,3/4-11/14,trim,0,1,0,False,False
6,1791,1791,13,10,5,11,2310,1791,3,True,False,1,1/44,3/4-17/22,trim,0,1,0,False,False
6,1791,1791,13,10,6,13,30030,1791,3,True,False,0,0,,close,-1,1,1,True,True
6,2140,2140,13,8,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
6,2140,2140,13,8,2,3,6,4,2,True,False,1,1/4,1/2-3/4,trim,0,1,0,False,False
6,2140,2140,13,8,3,5,30,10,10,True,False,1,1/4,1/2-3/4,miss,0,0,0,False,False
6,2140,2140,13,8,4,7,210,40,10,True,False,1,1/7,1/2-9/14,trim,0,1,0,False,False
6,2140,2140,13,8,5,11,2310,2140,10,True,False,1,4/77,13/22-9/14,trim,0,1,0,False,False
6,2140,2140,13,8,6,13,30030,2140,10,True,False,0,0,,close,-1,1,1,True,True
6,2499,189,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,2499,189,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,2499,189,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,2499,189,13,3,4,7,210,189,21,True,False,1,1/12,1/6-1/4,miss,0,0,0,False,False
6,2499,189,13,3,5,11,2310,189,21,True,False,1,1/44,5/22-1/4,trim,0,1,0,False,False
6,2499,189,13,3,6,13,30030,2499,21,True,False,0,0,,close,-1,1,1,True,True
6,3669,1359,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,3669,1359,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,3669,1359,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,3669,1359,13,3,4,7,210,99,3,True,False,1,1/28,3/14-1/4,trim,0,1,0,False,False
6,3669,1359,13,3,5,11,2310,1359,3,True,False,1,1/28,3/14-1/4,miss,0,0,0,False,False
6,3669,1359,13,3,6,13,30030,3669,3,True,False,0,0,,close,-1,1,1,True,True
6,3866,1556,13,5,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
6,3866,1556,13,5,2,3,6,2,2,True,False,1,1/4,1/4-1/2,trim,0,1,0,False,False
6,3866,1556,13,5,3,5,30,26,2,True,False,1,1/5,3/10-1/2,trim,0,1,0,False,False
6,3866,1556,13,5,4,7,210,86,2,True,False,1,1/7,5/14-1/2,trim,0,1,0,False,False
6,3866,1556,13,5,5,11,2310,1556,2,True,False,1,4/77,5/14-9/22,trim,0,1,0,False,False
6,3866,1556,13,5,6,13,30030,3866,2,True,False,0,0,,close,-1,1,1,True,True
6,4521,2211,13,10,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,4521,2211,13,10,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,4521,2211,13,10,3,5,30,21,3,True,False,1,1/12,3/4-5/6,partial_close,-1,1,1,False,False
6,4521,2211,13,10,4,7,210,111,3,True,False,1,1/28,3/4-11/14,trim,0,1,0,False,False
6,4521,2211,13,10,5,11,2310,2211,33,True,False,1,1/28,3/4-11/14,miss,0,0,0,False,False
6,4521,2211,13,10,6,13,30030,4521,33,True,False,0,0,,close,-1,1,1,True,True
6,6296,1676,13,4,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
6,6296,1676,13,4,2,3,6,2,2,True,False,1,1/4,1/4-1/2,trim,0,1,0,False,False
6,6296,1676,13,4,3,5,30,26,2,True,False,1,1/5,3/10-1/2,trim,0,1,0,False,False
6,6296,1676,13,4,4,7,210,206,2,True,False,1,2/35,3/10-5/14,trim,0,1,0,False,False
6,6296,1676,13,4,5,11,2310,1676,2,True,False,1,1/55,3/10-7/22,trim,0,1,0,False,False
6,6296,1676,13,4,6,13,30030,6296,2,True,False,0,0,,close,-1,1,1,True,True
6,6399,1779,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,6399,1779,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,6399,1779,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,6399,1779,13,3,4,7,210,99,3,True,False,1,1/28,3/14-1/4,trim,0,1,0,False,False
6,6399,1779,13,3,5,11,2310,1779,3,True,False,1,1/28,3/14-1/4,miss,0,0,0,False,False
6,6399,1779,13,3,6,13,30030,6399,3,True,False,0,0,,close,-1,1,1,True,True
6,6789,2169,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,6789,2169,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,6789,2169,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,6789,2169,13,3,4,7,210,69,3,True,False,1,1/12,1/6-1/4,miss,0,0,0,False,False
6,6789,2169,13,3,5,11,2310,2169,3,True,False,1,1/44,5/22-1/4,trim,0,1,0,False,False
6,6789,2169,13,3,6,13,30030,6789,3,True,False,0,0,,close,-1,1,1,True,True
6,7251,321,13,10,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,7251,321,13,10,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,7251,321,13,10,3,5,30,21,3,True,False,1,1/12,3/4-5/6,partial_close,-1,1,1,False,False
6,7251,321,13,10,4,7,210,111,3,True,False,1,1/28,3/4-11/14,trim,0,1,0,False,False
6,7251,321,13,10,5,11,2310,321,3,True,False,1,1/28,3/4-11/14,miss,0,0,0,False,False
6,7251,321,13,10,6,13,30030,7251,3,True,False,0,0,,close,-1,1,1,True,True
6,8146,1216,13,8,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
6,8146,1216,13,8,2,3,6,4,2,True,False,1,1/4,1/2-3/4,trim,0,1,0,False,False
6,8146,1216,13,8,3,5,30,16,2,True,False,1,1/4,1/2-3/4,miss,0,0,0,False,False
6,8146,1216,13,8,4,7,210,166,2,True,False,1,1/7,1/2-9/14,trim,0,1,0,False,False
6,8146,1216,13,8,5,11,2310,1216,2,True,False,1,4/77,13/22-9/14,trim,0,1,0,False,False
6,8146,1216,13,8,6,13,30030,8146,2,True,False,0,0,,close,-1,1,1,True,True
6,9129,2199,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,9129,2199,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,9129,2199,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,9129,2199,13,3,4,7,210,99,3,True,False,1,1/28,3/14-1/4,trim,0,1,0,False,False
6,9129,2199,13,3,5,11,2310,2199,3,True,False,1,1/28,3/14-1/4,miss,0,0,0,False,False
6,9129,2199,13,3,6,13,30030,9129,3,True,False,0,0,,close,-1,1,1,True,True
6,9981,741,13,10,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,9981,741,13,10,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,9981,741,13,10,3,5,30,21,3,True,False,1,1/12,3/4-5/6,partial_close,-1,1,1,False,False
6,9981,741,13,10,4,7,210,111,3,True,False,1,1/28,3/4-11/14,trim,0,1,0,False,False
6,9981,741,13,10,5,11,2310,741,3,True,False,1,1/28,3/4-11/14,miss,0,0,0,False,False
6,9981,741,13,10,6,13,30030,9981,3,True,False,0,0,,close,-1,1,1,True,True
6,10371,1131,13,10,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,10371,1131,13,10,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,10371,1131,13,10,3,5,30,21,3,True,False,1,1/12,3/4-5/6,partial_close,-1,1,1,False,False
6,10371,1131,13,10,4,7,210,81,3,True,False,1,1/12,3/4-5/6,miss,0,0,0,False,False
6,10371,1131,13,10,5,11,2310,1131,3,True,False,1,1/44,3/4-17/22,trim,0,1,0,False,False
6,10371,1131,13,10,6,13,30030,10371,3,True,False,0,0,,close,-1,1,1,True,True
6,11079,1839,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,11079,1839,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,11079,1839,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,11079,1839,13,3,4,7,210,159,3,True,False,1,1/12,1/6-1/4,miss,0,0,0,False,False
6,11079,1839,13,3,5,11,2310,1839,3,True,False,1,1/44,5/22-1/4,trim,0,1,0,False,False
6,11079,1839,13,3,6,13,30030,11079,3,True,False,0,0,,close,-1,1,1,True,True
6,11859,309,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,11859,309,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,11859,309,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,11859,309,13,3,4,7,210,99,3,True,False,1,1/28,3/14-1/4,trim,0,1,0,False,False
6,11859,309,13,3,5,11,2310,309,3,True,False,1,1/28,3/14-1/4,miss,0,0,0,False,False
6,11859,309,13,3,6,13,30030,11859,3,True,False,0,0,,close,-1,1,1,True,True
6,12711,1161,13,10,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,12711,1161,13,10,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,12711,1161,13,10,3,5,30,21,3,True,False,1,1/12,3/4-5/6,partial_close,-1,1,1,False,False
6,12711,1161,13,10,4,7,210,111,3,True,False,1,1/28,3/4-11/14,trim,0,1,0,False,False
6,12711,1161,13,10,5,11,2310,1161,3,True,False,1,1/28,3/4-11/14,miss,0,0,0,False,False
6,12711,1161,13,10,6,13,30030,12711,3,True,False,0,0,,close,-1,1,1,True,True
6,14152,292,13,8,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
6,14152,292,13,8,2,3,6,4,2,True,False,1,1/4,1/2-3/4,trim,0,1,0,False,False
6,14152,292,13,8,3,5,30,22,2,True,False,1,1/4,1/2-3/4,miss,0,0,0,False,False
6,14152,292,13,8,4,7,210,82,2,True,False,1,1/7,1/2-9/14,trim,0,1,0,False,False
6,14152,292,13,8,5,11,2310,292,2,True,False,1,4/77,13/22-9/14,trim,0,1,0,False,False
6,14152,292,13,8,6,13,30030,14152,2,True,False,0,0,,close,-1,1,1,True,True
6,14589,729,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,14589,729,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,14589,729,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,14589,729,13,3,4,7,210,99,3,True,False,1,1/28,3/14-1/4,trim,0,1,0,False,False
6,14589,729,13,3,5,11,2310,729,3,True,False,1,1/77,3/14-5/22,trim,0,1,0,False,False
6,14589,729,13,3,6,13,30030,14589,3,True,False,0,0,,close,-1,1,1,True,True
6,14661,801,13,10,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,14661,801,13,10,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,14661,801,13,10,3,5,30,21,3,True,False,1,1/12,3/4-5/6,partial_close,-1,1,1,False,False
6,14661,801,13,10,4,7,210,171,3,True,False,1,1/12,3/4-5/6,miss,0,0,0,False,False
6,14661,801,13,10,5,11,2310,801,3,True,False,1,1/44,3/4-17/22,trim,0,1,0,False,False
6,14661,801,13,10,6,13,30030,14661,3,True,False,0,0,,close,-1,1,1,True,True
6,15369,1509,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,15369,1509,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,15369,1509,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,15369,1509,13,3,4,7,210,39,3,True,False,1,1/12,1/6-1/4,miss,0,0,0,False,False
6,15369,1509,13,3,5,11,2310,1509,3,True,False,1,1/44,5/22-1/4,trim,0,1,0,False,False
6,15369,1509,13,3,6,13,30030,15369,3,True,False,0,0,,close,-1,1,1,True,True
6,15441,1581,13,10,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,15441,1581,13,10,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,15441,1581,13,10,3,5,30,21,3,True,False,1,1/12,3/4-5/6,partial_close,-1,1,1,False,False
6,15441,1581,13,10,4,7,210,111,3,True,False,1,1/28,3/4-11/14,trim,0,1,0,False,False
6,15441,1581,13,10,5,11,2310,1581,3,True,False,1,1/77,17/22-11/14,trim,0,1,0,False,False
6,15441,1581,13,10,6,13,30030,15441,3,True,False,0,0,,close,-1,1,1,True,True
6,15878,2018,13,5,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
6,15878,2018,13,5,2,3,6,2,2,True,False,1,1/4,1/4-1/2,trim,0,1,0,False,False
6,15878,2018,13,5,3,5,30,8,2,True,False,1,1/4,1/4-1/2,miss,0,0,0,False,False
6,15878,2018,13,5,4,7,210,128,2,True,False,1,1/7,5/14-1/2,trim,0,1,0,False,False
6,15878,2018,13,5,5,11,2310,2018,2,True,False,1,4/77,5/14-9/22,trim,0,1,0,False,False
6,15878,2018,13,5,6,13,30030,15878,2,True,False,0,0,,close,-1,1,1,True,True
6,17319,1149,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,17319,1149,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,17319,1149,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,17319,1149,13,3,4,7,210,99,3,True,False,1,1/28,3/14-1/4,trim,0,1,0,False,False
6,17319,1149,13,3,5,11,2310,1149,3,True,False,1,1/28,3/14-1/4,miss,0,0,0,False,False
6,17319,1149,13,3,6,13,30030,17319,3,True,False,0,0,,close,-1,1,1,True,True
6,18171,2001,13,10,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,18171,2001,13,10,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,18171,2001,13,10,3,5,30,21,3,True,False,1,1/12,3/4-5/6,partial_close,-1,1,1,False,False
6,18171,2001,13,10,4,7,210,111,3,True,False,1,1/28,3/4-11/14,trim,0,1,0,False,False
6,18171,2001,13,10,5,11,2310,2001,3,True,False,1,1/28,3/4-11/14,miss,0,0,0,False,False
6,18171,2001,13,10,6,13,30030,18171,3,True,False,0,0,,close,-1,1,1,True,True
6,18951,471,13,10,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,18951,471,13,10,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,18951,471,13,10,3,5,30,21,3,True,False,1,1/12,3/4-5/6,partial_close,-1,1,1,False,False
6,18951,471,13,10,4,7,210,51,3,True,False,1,1/12,3/4-5/6,miss,0,0,0,False,False
6,18951,471,13,10,5,11,2310,471,3,True,False,1,1/44,3/4-17/22,trim,0,1,0,False,False
6,18951,471,13,10,6,13,30030,18951,3,True,False,0,0,,close,-1,1,1,True,True
6,19659,1179,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,19659,1179,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,19659,1179,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,19659,1179,13,3,4,7,210,129,3,True,False,1,1/12,1/6-1/4,miss,0,0,0,False,False
6,19659,1179,13,3,5,11,2310,1179,3,True,False,1,1/44,5/22-1/4,trim,0,1,0,False,False
6,19659,1179,13,3,6,13,30030,19659,3,True,False,0,0,,close,-1,1,1,True,True
6,20049,1569,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,20049,1569,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,20049,1569,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,20049,1569,13,3,4,7,210,99,3,True,False,1,1/28,3/14-1/4,trim,0,1,0,False,False
6,20049,1569,13,3,5,11,2310,1569,3,True,False,1,1/28,3/14-1/4,miss,0,0,0,False,False
6,20049,1569,13,3,6,13,30030,20049,3,True,False,0,0,,close,-1,1,1,True,True
6,20901,111,13,10,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,20901,111,13,10,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,20901,111,13,10,3,5,30,21,3,True,False,1,1/12,3/4-5/6,partial_close,-1,1,1,False,False
6,20901,111,13,10,4,7,210,111,3,True,False,1,1/28,3/4-11/14,trim,0,1,0,False,False
6,20901,111,13,10,5,11,2310,111,3,True,False,1,1/28,3/4-11/14,miss,0,0,0,False,False
6,20901,111,13,10,6,13,30030,20901,3,True,False,0,0,,close,-1,1,1,True,True
6,21884,1094,13,5,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
6,21884,1094,13,5,2,3,6,2,2,True,False,1,1/4,1/4-1/2,trim,0,1,0,False,False
6,21884,1094,13,5,3,5,30,14,2,True,False,1,1/4,1/4-1/2,miss,0,0,0,False,False
6,21884,1094,13,5,4,7,210,44,2,True,False,1,1/7,5/14-1/2,trim,0,1,0,False,False
6,21884,1094,13,5,5,11,2310,1094,2,True,False,1,4/77,5/14-9/22,trim,0,1,0,False,False
6,21884,1094,13,5,6,13,30030,21884,2,True,False,0,0,,close,-1,1,1,True,True
6,22779,1989,13,3,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
6,22779,1989,13,3,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
6,22779,1989,13,3,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
6,22779,1989,13,3,4,7,210,99,3,True,False,1,1/28,3/14-1/4,trim,0,1,0,False,False
6,22779,1989,13,3,5,11,2310,1989,3,True,False,1,1/28,3/14-1/4,miss,0,0,0,False,False
