parent_k,child_k,parent_modulus,child_modulus,parent_residue,child_residue,new_prime,new_prime_remainder,old_gap_count,old_gap_boundary_endpoints,new_prime_closed_arc_boundary_endpoints,closed_gap_count,remaining_gap_count,remaining_gap_boundary_endpoints,transition_type,is_b5_birth
4,5,210,2310,13,1903,11,0,2,3/4-11/14;13/14-1/6,0-1/22;21/22-1,0,3,3/4-11/14;13/14-21/22;1/22-1/6,not_close,False
4,5,210,2310,13,2113,11,1,2,3/4-11/14;13/14-1/6,1/22-3/22,0,4,3/4-11/14;13/14-1;0-1/22;3/22-1/6,not_close,False
4,5,210,2310,14,14,11,3,1,1/4-1/2,5/22-7/22,0,1,7/22-1/2,not_close,False
4,5,210,2310,14,224,11,4,1,1/4-1/2,7/22-9/22,0,2,1/4-7/22;9/22-1/2,not_close,False
4,5,210,2310,14,434,11,5,1,1/4-1/2,9/22-1/2,0,1,1/4-9/22,not_close,False
4,5,210,2310,14,644,11,6,1,1/4-1/2,1/2-13/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,14,854,11,7,1,1/4-1/2,13/22-15/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,14,1064,11,8,1,1/4-1/2,15/22-17/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,14,1274,11,9,1,1/4-1/2,17/22-19/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,14,1484,11,10,1,1/4-1/2,19/22-21/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,14,1694,11,0,1,1/4-1/2,0-1/22;21/22-1,0,1,1/4-1/2,not_close,False
4,5,210,2310,14,1904,11,1,1,1/4-1/2,1/22-3/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,14,2114,11,2,1,1/4-1/2,3/22-5/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,15,15,11,4,2,3/14-1/4;3/4-5/6,7/22-9/22,0,2,3/14-1/4;3/4-5/6,not_close,False
4,5,210,2310,15,225,11,5,2,3/14-1/4;3/4-5/6,9/22-1/2,0,2,3/14-1/4;3/4-5/6,not_close,False
4,5,210,2310,15,435,11,6,2,3/14-1/4;3/4-5/6,1/2-13/22,0,2,3/14-1/4;3/4-5/6,not_close,False
4,5,210,2310,15,645,11,7,2,3/14-1/4;3/4-5/6,13/22-15/22,0,2,3/14-1/4;3/4-5/6,not_close,False
4,5,210,2310,15,855,11,8,2,3/14-1/4;3/4-5/6,15/22-17/22,0,2,3/14-1/4;17/22-5/6,not_close,False
4,5,210,2310,15,1065,11,9,2,3/14-1/4;3/4-5/6,17/22-19/22,0,2,3/14-1/4;3/4-17/22,not_close,False
4,5,210,2310,15,1275,11,10,2,3/14-1/4;3/4-5/6,19/22-21/22,0,2,3/14-1/4;3/4-5/6,not_close,False
4,5,210,2310,15,1485,11,0,2,3/14-1/4;3/4-5/6,0-1/22;21/22-1,0,2,3/14-1/4;3/4-5/6,not_close,False
4,5,210,2310,15,1695,11,1,2,3/14-1/4;3/4-5/6,1/22-3/22,0,2,3/14-1/4;3/4-5/6,not_close,False
4,5,210,2310,15,1905,11,2,2,3/14-1/4;3/4-5/6,3/22-5/22,0,2,5/22-1/4;3/4-5/6,not_close,False
4,5,210,2310,15,2115,11,3,2,3/14-1/4;3/4-5/6,5/22-7/22,0,2,3/14-5/22;3/4-5/6,not_close,False
4,5,210,2310,16,16,11,5,1,1/2-3/4,9/22-1/2,0,1,1/2-3/4,not_close,False
4,5,210,2310,16,226,11,6,1,1/2-3/4,1/2-13/22,0,1,13/22-3/4,not_close,False
4,5,210,2310,16,436,11,7,1,1/2-3/4,13/22-15/22,0,2,1/2-13/22;15/22-3/4,not_close,False
4,5,210,2310,16,646,11,8,1,1/2-3/4,15/22-17/22,0,1,1/2-15/22,not_close,False
4,5,210,2310,16,856,11,9,1,1/2-3/4,17/22-19/22,0,1,1/2-3/4,not_close,False
4,5,210,2310,16,1066,11,10,1,1/2-3/4,19/22-21/22,0,1,1/2-3/4,not_close,False
4,5,210,2310,16,1276,11,0,1,1/2-3/4,0-1/22;21/22-1,0,1,1/2-3/4,not_close,False
4,5,210,2310,16,1486,11,1,1,1/2-3/4,1/22-3/22,0,1,1/2-3/4,not_close,False
4,5,210,2310,16,1696,11,2,1,1/2-3/4,3/22-5/22,0,1,1/2-3/4,not_close,False
4,5,210,2310,16,1906,11,3,1,1/2-3/4,5/22-7/22,0,1,1/2-3/4,not_close,False
4,5,210,2310,16,2116,11,4,1,1/2-3/4,7/22-9/22,0,1,1/2-3/4,not_close,False
4,5,210,2310,17,17,11,6,1,5/6-1/4,1/2-13/22,0,2,5/6-1;0-1/4,not_close,False
4,5,210,2310,17,227,11,7,1,5/6-1/4,13/22-15/22,0,2,5/6-1;0-1/4,not_close,False
4,5,210,2310,17,437,11,8,1,5/6-1/4,15/22-17/22,0,2,5/6-1;0-1/4,not_close,False
4,5,210,2310,17,647,11,9,1,5/6-1/4,17/22-19/22,0,2,19/22-1;0-1/4,not_close,False
4,5,210,2310,17,857,11,10,1,5/6-1/4,19/22-21/22,0,3,5/6-19/22;21/22-1;0-1/4,not_close,False
