selection_group,parent_residue,lift_remainder,child_residue,transition_label,phase_margin,phase_rank,aperture_tension,obstruction_bucket
capacity_top_200,2602,13,2555152,miss,-14/209,3,14/209,pure_miss
capacity_top_200,2602,14,2044642,miss,-25/209,5,25/209,pure_miss
capacity_top_200,2602,15,1534132,miss,-36/209,7,36/209,pure_miss
capacity_top_200,2602,16,1023622,miss,-47/209,9,47/209,pure_miss
capacity_top_200,2602,17,513112,miss,-58/209,11,58/209,pure_miss
capacity_top_200,2602,18,2602,miss,-69/209,13,69/209,pure_miss
capacity_top_200,3064,0,2555614,miss,-80/209,15,80/209,pure_miss
capacity_top_200,3064,1,2045104,miss,-91/209,17,91/209,pure_miss
capacity_top_200,3064,2,1534594,miss,-102/209,19,102/209,pure_miss
capacity_top_200,3064,3,1024084,miss,-61/133,18,61/133,pure_miss
capacity_top_200,3064,4,513574,miss,-54/133,16,54/133,pure_miss
capacity_top_200,3064,5,3064,miss,-47/133,14,47/133,pure_miss
capacity_top_200,3064,6,9192244,miss,-40/133,12,40/133,pure_miss
capacity_top_200,3064,7,8681734,miss,-33/133,10,33/133,pure_miss
capacity_top_200,3064,8,8171224,miss,-26/133,8,26/133,pure_miss
capacity_top_200,3064,9,7660714,miss,-1/7,6,1/7,pure_miss
capacity_top_200,3064,10,7150204,miss,-12/133,4,12/133,pure_miss
capacity_top_200,3064,11,6639694,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,3064,12,6129184,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,3064,13,5618674,miss,-14/209,3,14/209,pure_miss
capacity_top_200,3064,14,5108164,miss,-25/209,5,25/209,pure_miss
capacity_top_200,3064,15,4597654,miss,-36/209,7,36/209,pure_miss
capacity_top_200,3064,16,4087144,miss,-47/209,9,47/209,pure_miss
capacity_top_200,3064,17,3576634,miss,-58/209,11,58/209,pure_miss
capacity_top_200,3064,18,3066124,miss,-69/209,13,69/209,pure_miss
capacity_top_200,3404,0,1534934,miss,-80/209,15,80/209,pure_miss
capacity_top_200,3404,1,1024424,miss,-69/209,13,69/209,pure_miss
capacity_top_200,3404,2,513914,miss,-58/209,11,58/209,pure_miss
capacity_top_200,3404,3,3404,miss,-47/209,9,47/209,pure_miss
capacity_top_200,3404,4,9192584,miss,-36/209,7,36/209,pure_miss
capacity_top_200,3404,5,8682074,miss,-25/209,5,25/209,pure_miss
capacity_top_200,3404,6,8171564,miss,-14/209,3,14/209,pure_miss
capacity_top_200,3404,7,7661054,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,3404,8,7150544,trim,-5/133,2,5/133,wrong_side_trim
