parent_rank,source_lineage_id,source_lineage_role,parent_residue,parent_component_count,parent_residual_measure,parent_max_component_width,lift_remainder,child_residue,transition_label,component_delta,phase_margin,phase_rank,is_close
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,13,3064276,miss,0,-14/209,3,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,14,2553766,miss,0,-25/209,5,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,15,2043256,miss,0,-36/209,7,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,16,1532746,miss,0,-47/209,9,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,17,1022236,miss,0,-58/209,11,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,18,511726,miss,0,-69/209,13,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,0,8680226,miss,0,-80/209,15,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,1,8169716,miss,0,-69/209,13,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,2,7659206,miss,0,-58/209,11,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,3,7148696,miss,0,-47/209,9,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,4,6638186,miss,0,-36/209,7,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,5,6127676,miss,0,-25/209,5,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,6,5617166,miss,0,-14/209,3,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,7,5106656,trim,0,-3/209,1,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,8,4596146,trim,0,-5/133,2,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,9,4085636,miss,0,-12/133,4,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,10,3575126,miss,0,-1/7,6,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,11,3064616,miss,0,-26/133,8,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,12,2554106,miss,0,-33/133,10,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,13,2043596,miss,0,-40/133,12,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,14,1533086,miss,0,-47/133,14,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,15,1022576,miss,0,-54/133,16,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,16,512066,miss,0,-61/133,18,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,17,1556,miss,0,-102/209,19,False
5,B7_birth_parent_siblings:capacity_nonclose_control:1556:1556,capacity_nonclose,1556,1,4/77,4/77,18,9190736,miss,0,-91/209,17,False
