selection_groups,parent_rank,parent_residue,parent_component_count,parent_residual_measure,parent_max_component_width,best_lift_remainder,best_phase_margin,best_aperture_tension,best_transition_label,trim_lift_count,miss_lift_count,close_lift_count,positive_margin_lift_count,selection_failure_reason
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,109,106982,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;near_zero_margin_200,110,112678,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;near_zero_margin_200,111,119762,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;near_zero_margin_200,112,139678,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,113,140252,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,114,151228,1,3/85,3/85,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;near_zero_margin_200,115,151528,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,116,152068,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,117,168782,1,2/65,2/65,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;near_zero_margin_200,118,216418,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,119,216748,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
