k,new_prime,primorial,residue,parent_residue_mod_previous,reflection_residue,birth_type,previous_open_gap_count,previous_uncovered_measure_fraction,previous_open_gap_boundary_endpoints,new_prime_remainder,new_prime_closed_arc_boundary_endpoints,containment_margin_fraction,uses_endpoint_touching
6,13,30030,11859,309,18171,strict_single_gap_birth,1,1/28,3/14-1/4,3,5/26-7/26,1/52,False
6,13,30030,12711,1161,17319,strict_single_gap_birth,1,1/28,3/4-11/14,10,19/26-21/26,1/52,False
6,13,30030,14152,292,15878,strict_single_gap_birth,1,4/77,13/22-9/14,8,15/26-17/26,1/91,False
6,13,30030,14589,729,15441,strict_single_gap_birth,1,1/77,3/14-5/22,3,5/26-7/26,2/91,False
6,13,30030,14661,801,15369,strict_single_gap_birth,1,1/44,3/4-17/22,10,19/26-21/26,1/52,False
6,13,30030,15369,1509,14661,strict_single_gap_birth,1,1/44,5/22-1/4,3,5/26-7/26,1/52,False
6,13,30030,15441,1581,14589,strict_single_gap_birth,1,1/77,17/22-11/14,10,19/26-21/26,2/91,False
6,13,30030,15878,2018,14152,strict_single_gap_birth,1,4/77,5/14-9/22,5,9/26-11/26,1/91,False
6,13,30030,17319,1149,12711,strict_single_gap_birth,1,1/28,3/14-1/4,3,5/26-7/26,1/52,False
6,13,30030,18171,2001,11859,strict_single_gap_birth,1,1/28,3/4-11/14,10,19/26-21/26,1/52,False
6,13,30030,18951,471,11079,strict_single_gap_birth,1,1/44,3/4-17/22,10,19/26-21/26,1/52,False
6,13,30030,19659,1179,10371,strict_single_gap_birth,1,1/44,5/22-1/4,3,5/26-7/26,1/52,False
6,13,30030,20049,1569,9981,strict_single_gap_birth,1,1/28,3/14-1/4,3,5/26-7/26,1/52,False
6,13,30030,20901,111,9129,strict_single_gap_birth,1,1/28,3/4-11/14,10,19/26-21/26,1/52,False
6,13,30030,21884,1094,8146,strict_single_gap_birth,1,4/77,5/14-9/22,5,9/26-11/26,1/91,False
6,13,30030,22779,1989,7251,strict_single_gap_birth,1,1/28,3/14-1/4,3,5/26-7/26,1/52,False
6,13,30030,23241,141,6789,strict_single_gap_birth,1,1/44,3/4-17/22,10,19/26-21/26,1/52,False
6,13,30030,23631,531,6399,strict_single_gap_birth,1,1/28,3/4-11/14,10,19/26-21/26,1/52,False
6,13,30030,23734,634,6296,strict_single_gap_birth,1,1/55,15/22-7/10,9,17/26-19/26,4/143,False
6,13,30030,25509,99,4521,strict_single_gap_birth,1,1/28,3/14-1/4,3,5/26-7/26,1/52,False
6,13,30030,26164,754,3866,strict_single_gap_birth,1,4/77,13/22-9/14,8,15/26-17/26,1/91,False
6,13,30030,26361,951,3669,strict_single_gap_birth,1,1/28,3/4-11/14,10,19/26-21/26,1/52,False
6,13,30030,27531,2121,2499,strict_single_gap_birth,1,1/44,3/4-17/22,10,19/26-21/26,1/52,False
6,13,30030,27890,170,2140,strict_single_gap_birth,1,4/77,5/14-9/22,5,9/26-11/26,1/91,False
6,13,30030,28239,519,1791,strict_single_gap_birth,1,1/44,5/22-1/4,3,5/26-7/26,1/52,False
6,13,30030,29091,1371,939,strict_single_gap_birth,1,1/28,3/4-11/14,10,19/26-21/26,1/52,False
7,17,510510,1245,1245,509265,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,1329,1329,509181,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,2121,2121,508389,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,2631,2631,507879,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,3208,3208,507302,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,3422,3422,507088,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,3489,3489,507021,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,4509,4509,506001,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,5223,5223,505287,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,5301,5301,505209,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,6201,6201,504309,strict_single_gap_birth,1,1/77,17/22-11/14,13,25/34-27/34,1/119,False
7,17,510510,7731,7731,502779,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,7959,7959,502551,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,8079,8079,502431,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,9099,9099,501411,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,9771,9771,500739,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,9838,9838,500672,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,10052,10052,500458,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,11378,11378,499132,strict_single_gap_birth,1,7/143,7/26-7/22,5,9/34-11/34,1/221,False
7,17,510510,11649,11649,498861,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,11931,11931,498579,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,12184,12184,498326,strict_single_gap_birth,1,1/55,15/22-7/10,12,23/34-25/34,1/187,False
7,17,510510,12434,12434,498076,strict_single_gap_birth,1,2/143,9/22-11/26,7,13/34-15/34,4/221,False
7,17,510510,13341,13341,497169,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,15219,15219,495291,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,16468,16468,494042,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,16682,16682,493828,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,16911,16911,493599,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,18561,18561,491949,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,18789,18789,491721,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,20319,20319,490191,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,20481,20481,490029,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,21219,21219,489291,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,22359,22359,488151,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,24051,24051,486459,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,25191,25191,485319,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,25929,25929,484581,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,27086,27086,483424,strict_single_gap_birth,1,1/55,3/10-7/22,5,9/34-11/34,1/187,False
7,17,510510,27621,27621,482889,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,27849,27849,482661,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,29499,29499,481011,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,29728,29728,480782,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,29942,29942,480568,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,30171,141,480339,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,31191,1161,479319,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,31539,1509,478971,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,33069,3039,477441,strict_single_gap_birth,1,1/77,3/14-5/22,4,7/34-9/34,1/119,False
7,17,510510,34479,4449,476031,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,34761,4731,475749,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,35781,5751,474729,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,36358,6328,474152,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,36572,6542,473938,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,36639,6609,473871,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,37149,7119,473361,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,38331,8301,472179,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,38451,8421,472059,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,40114,10084,470396,strict_single_gap_birth,1,1/91,9/14-17/26,11,21/34-23/34,5/221,False
7,17,510510,40209,10179,470301,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,41391,11361,469119,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,41901,11871,468609,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,42759,12729,467751,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,42988,12958,467522,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,43202,13172,467308,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,43779,13749,466731,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,45081,15051,465429,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,47001,16971,463509,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,47739,17709,462771,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,47839,17809,462671,strict_single_gap_birth,1,2/77,1/22-1/14,1,1/34-3/34,3/187,False
7,17,510510,48369,18339,462141,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,49041,19011,461469,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,49832,19802,460678,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,50919,20889,459591,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,51454,21424,459056,strict_single_gap_birth,1,1/55,15/22-7/10,12,23/34-25/34,1/187,False
7,17,510510,51711,21681,458799,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,52611,22581,457899,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,52706,22676,457804,strict_single_gap_birth,1,1/91,9/26-5/14,6,11/34-13/34,5/221,False
7,17,510510,54369,24339,456141,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,54489,24459,456021,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,56181,26151,454329,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,56248,26218,454262,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,56462,26432,454048,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,58059,28029,452451,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,58221,28191,452289,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,58341,28311,452169,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,59589,29559,450921,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,59673,29643,450837,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,59751,29721,450759,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,61629,1569,448881,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,61988,1928,448522,strict_single_gap_birth,1,1/91,9/26-5/14,6,11/34-13/34,5/221,False
7,17,510510,62878,2818,447632,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,63092,3032,447418,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,63321,3261,447189,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,64971,4911,445539,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,65199,5139,445311,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,66891,6831,443619,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,67629,7569,442881,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,68769,8709,441741,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,69441,9381,441069,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,70461,10401,440049,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,70809,10749,439701,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,71601,11541,438909,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,72339,12279,438171,strict_single_gap_birth,1,1/77,3/14-5/22,4,7/34-9/34,1/119,False
7,17,510510,74031,13971,436479,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,74259,14199,436251,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,75051,14991,435459,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,75909,15849,434601,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,76138,16078,434372,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,76352,16292,434158,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,76419,16359,434091,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,77601,17541,432909,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,79479,19419,431031,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,80661,20601,429849,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,80889,20829,429621,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,81171,21111,429339,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,82029,21969,428481,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,82768,22708,427742,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,82982,22922,427528,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,83049,22989,427461,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,84741,24681,425769,strict_single_gap_birth,1,1/77,17/22-11/14,13,25/34-27/34,1/119,False
7,17,510510,84861,24801,425649,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,86271,26211,424239,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,86524,26464,423986,strict_single_gap_birth,1,1/91,9/14-17/26,11,21/34-23/34,5/221,False
7,17,510510,86619,26559,423891,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,87519,27459,422991,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,87639,27579,422871,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,88311,28251,422199,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,89398,29338,421112,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,89612,29552,420898,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,90189,99,420321,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,90724,634,419786,strict_single_gap_birth,1,1/55,15/22-7/10,12,23/34-25/34,1/187,False
7,17,510510,91491,1401,419019,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,94149,4059,416361,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,95451,5361,415059,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,96028,5938,414482,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,97329,7239,413181,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,97491,7401,413019,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,98121,8031,412389,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,98859,8769,411651,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,99021,8931,411489,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,99116,9026,411394,strict_single_gap_birth,1,1/91,9/26-5/14,6,11/34-13/34,5/221,False
7,17,510510,100779,10689,409731,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,100857,10767,409653,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,100899,10809,409611,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,102591,12501,407919,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,102658,12568,407852,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,102872,12782,407638,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,103347,13257,407163,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,104469,14379,406041,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,105626,15536,404884,strict_single_gap_birth,1,1/55,3/10-7/22,5,9/34-11/34,1/187,False
7,17,510510,106161,16071,404349,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,107325,17235,403185,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,108039,17949,402471,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,108711,18621,401799,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,109288,19198,401222,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,109502,19412,401008,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,109731,19641,400779,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,110079,19989,400431,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,111381,21291,399129,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,111609,21519,398901,strict_single_gap_birth,1,1/77,3/14-5/22,4,7/34-9/34,1/119,False
7,17,510510,113301,23211,397209,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,113480,23390,397030,strict_single_gap_birth,1,7/143,7/26-7/22,5,9/34-11/34,1/221,False
7,17,510510,114321,24231,396189,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,114536,24446,395974,strict_single_gap_birth,1,2/143,9/22-11/26,7,13/34-15/34,4/221,False
7,17,510510,115179,25089,395331,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,115689,25599,394821,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,116871,26781,393639,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,118011,27921,392499,strict_single_gap_birth,1,1/39,21/26-5/6,14,27/34-29/34,3/221,False
7,17,510510,118749,28659,391761,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,119931,29841,390579,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,120441,321,390069,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,120669,549,389841,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,121299,1179,389211,strict_single_gap_birth,1,1/44,5/22-1/4,4,7/34-9/34,1/68,False
7,17,510510,122319,2199,388191,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,122762,2642,387748,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,124011,3891,386499,strict_single_gap_birth,1,1/77,17/22-11/14,13,25/34-27/34,1/119,False
7,17,510510,125541,5421,384969,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
7,17,510510,125889,5769,384621,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,127299,7179,383211,strict_single_gap_birth,1,1/39,1/6-5/26,3,5/34-7/34,3/221,False
7,17,510510,127345,7225,383165,strict_single_gap_birth,1,2/55,19/22-9/10,15,29/34-31/34,2/187,False
7,17,510510,127581,7461,382929,strict_single_gap_birth,1,1/28,3/4-11/14,13,25/34-27/34,1/119,False
7,17,510510,129178,9058,381332,strict_single_gap_birth,1,2/65,7/10-19/26,12,23/34-25/34,1/221,False
7,17,510510,129392,9272,381118,strict_single_gap_birth,1,2/65,7/26-3/10,5,9/34-11/34,1/221,False
7,17,510510,129459,9339,381051,strict_single_gap_birth,1,1/28,3/14-1/4,4,7/34-9/34,1/119,False
7,17,510510,129994,9874,380516,strict_single_gap_birth,1,1/55,15/22-7/10,12,23/34-25/34,1/187,False
7,17,510510,131151,11031,379359,strict_single_gap_birth,1,1/44,3/4-17/22,13,25/34-27/34,1/68,False
