n,prime_count,uncovered_measure,uncovered_measure_times_log_n,random_arc_baseline,poisson_arc_baseline,product_arc_baseline,max_uncovered_gap,complete_scale_1_over_n,complete_scale_1_over_pi_n,complete_numeric_1e_9,branch1_uncovered_measure,branch1_max_uncovered_gap,branch1_exposed_gap_estimate,gap_fill_ratio,gap_fill_drop,uncovered_component_count,gap_p50,gap_p90,gap_p99
29471,3201,0.06617270754600685,0.6809940538619136,0.07476354232202742,0.07476354232202742,0.05452249776667858,0.0020142802184990316,False,False,False,0.9302079314722367,0.005193744030653202,0.005193744030653228,0.3878281653101994,0.0031794638121541707,159,0.0002993159325116457,0.0009683693506814752,0.0016762142393516072
33932,3633,0.006276843280416611,0.06548074341189396,0.073752154352355,0.073752154352355,0.0537849154983707,0.0005620107912202577,False,False,False,0.931285341656672,0.004525763141207562,0.004525763141207423,0.12418033681504204,0.003963752349987304,35,0.00012334278832648593,0.0004124123267343683,0.000552744343515965
39069,4112,0,0.0,0.07278896313356335,0.07278896313356335,0.05308248360134955,0.0,True,True,True,0.9323669522775966,0.005218633304032716,0.005218633304032466,0.0,0.005218633304032716,0,0.0,0.0,0.0
44984,4674,0.006236551413396962,0.066818799444631,0.071820295001396,0.071820295001396,0.0523760589206028,0.0004959104725939523,False,False,False,0.9332659789887964,0.003558966390908802,0.0035589663909087435,0.13934115080736087,0.00306305591831485,33,0.00017470688880333318,0.0003756272518815163,0.0004762550947561128
51795,5298,0.005614437521529014,0.06094499383372681,0.07089951041547633,0.07089951041547633,0.0517045556363834,0.0006845697633131864,False,False,False,0.9341650026275139,0.0037425976867943023,0.003742597686794149,0.18291299803040018,0.003058027923481116,40,7.331896791752668e-05,0.00034342367015011165,0.0006644903339004357
59636,6028,0.019700824964416108,0.21663056086254578,0.06997575860342763,0.06997575860342763,0.05103088943451448,0.0006399032069923649,False,False,False,0.9347633574550697,0.004313987975490985,0.0043139879754911644,0.1483321721404511,0.00367408476849862,121,0.0001399224887332906,0.00031757044698871306,0.0005596365935264133
68665,6824,0.021359938345880736,0.2378855241439482,0.06911177259412386,0.06911177259412386,0.050400809562634354,0.0007505499438663632,False,False,False,0.9360688018666836,0.002890423709019596,0.0028904237090194747,0.25966779248463284,0.002139873765153233,135,9.763514703076126e-05,0.00039781664225666544,0.0006189200236663448
79060,7749,0.045343832059609124,0.5113860301767539,0.06824986579194167,0.06824986579194167,0.04977224669575993,0.0007766122893156924,False,False,False,0.936807445398264,0.002601807744267881,0.0026018077442677627,0.29848949870591696,0.0018251954549521887,294,0.00011791116881570973,0.00032983128923095293,0.0005732389519884878
91030,8804,0.052528221579989265,0.5998168417315349,0.06740657325314217,0.06740657325314217,0.04915725925234008,0.0008064439445993887,False,False,False,0.9375476643057017,0.002136904430075748,0.002136904430075981,0.37738886833174956,0.001330460485476359,460,8.249953165023749e-05,0.00025584960134498184,0.00042940162135544295
104811,10008,0.02423057011524954,0.28010330687754603,0.06658109489525381,0.06658109489525381,0.04855526365460634,0.000488120310251583,False,False,False,0.9382514374951276,0.0017376764775455245,0.0017376764775457083,0.28090402129460545,0.0012495561672939415,199,9.516885502125483e-05,0.0002644051317938882,0.00047581074822319327
