n,mod210,trivial_small_prime_stratum,certificate_prime,certificate_prime_index,certificate_prime_over_n
12602,2,True,7,4,0.0005554673861291858
12658,58,False,11,5,0.000869015642281561
17848,208,True,7,4,0.0003922008068130883
17852,2,True,7,4,0.00039211292852341475
17854,4,False,29,10,0.0016242858743138792
17938,88,False,11,5,0.0006132233247853719
18009,159,False,61,18,0.0033871952912432673
18032,182,False,11,5,0.0006100266193433896
18051,201,False,43,14,0.002382139493656861
18058,208,True,7,4,0.0003876398272233913
18062,2,True,7,4,0.00038755398073303066
18118,58,False,23,9,0.0012694557898222762
18171,111,False,13,6,0.0007154256782785758
18268,208,True,7,4,0.0003831837092183052
18272,2,True,7,4,0.0003830998248686515
18274,4,False,149,35,0.008153660939039072
19659,129,False,13,6,0.0006612747342184241
19682,152,False,11,5,0.0005588862920434915
19696,166,False,19,8,0.0009646628757108042
19738,208,True,7,4,0.0003546458607761678
19742,2,True,7,4,0.00035457400466011547
19888,148,False,23,9,0.0011564762670957362
19918,178,False,11,5,0.0005522642835626067
19941,201,False,11,5,0.0005516273005365829
19948,208,True,7,4,0.00035091237216763584
19952,2,True,7,4,0.0003508420208500401
20012,62,False,11,5,0.0005496701978812712
20049,99,False,13,6,0.000648411392089381
20121,171,False,23,9,0.0011430843397445456
38636,206,False,149,35,0.0038565068847706803
38638,208,True,7,4,0.00018116879755680936
38642,2,True,7,4,0.00018115004399358212
38728,88,False,11,5,0.0002840322247469531
38768,128,False,19,8,0.0004900949236483698
38822,182,False,11,5,0.0002833444953892123
38848,208,True,7,4,0.00018018945634266887
38852,2,True,7,4,0.00018017090497271697
38859,9,False,19,8,0.0004889472194343653
39058,208,True,7,4,0.00017922064621844435
39062,2,True,7,4,0.0001792022937893605
39069,9,False,29,10,0.0007422764851928639
39129,69,False,31,11,0.0007922512714355082
39152,92,False,11,5,0.00028095627298733143
39159,99,False,13,6,0.0003319798769120764
39268,208,True,7,4,0.00017826219822756443
39272,2,True,7,4,0.00017824404155632512
39388,118,False,11,5,0.00027927287498730576
39471,201,False,37,12,0.0009373970763345241
39478,208,True,7,4,0.0001773139470084604
39482,2,True,7,4,0.00017729598297958564
51448,208,True,7,4,0.0001360597107759291
51452,2,True,7,4,0.00013604913317266578
51454,4,False,17,7,0.0003303921949702647
51549,99,False,37,12,0.0007177636811577335
51561,111,False,23,9,0.0004460735827466496
51598,148,False,11,5,0.00021318655761851235
51639,189,False,23,9,0.00044539979472879023
51658,208,True,7,4,0.00013550660110728252
51662,2,True,7,4,0.00013549610932600363
51669,9,False,11,5,0.00021289361125626584
51692,32,False,11,5,0.00021279888570765302
51711,51,False,17,7,0.0003287501692096459
51868,208,True,7,4,0.00013495797023212771
51872,2,True,7,4,0.0001349475632325725
51902,32,False,53,16,0.0010211552541327888
51914,44,False,13,6,0.00025041414647301304
51928,58,False,11,5,0.00021183176706208597
58322,152,False,79,22,0.001354548883783135
58341,171,False,17,7,0.0002913902744210761
58378,208,True,7,4,0.0001199081845900853
58382,2,True,7,4,0.00011989996916857936
58528,148,False,11,5,0.00018794423182066702
58551,171,False,47,15,0.0008027189971136275
58588,208,True,7,4,0.00011947839147948385
58592,2,True,7,4,0.00011947023484434736
58599,9,False,11,5,0.00018771651393368488
58622,32,False,11,5,0.0001876428644536181
58766,176,False,179,41,0.003045978967430147
58772,182,False,23,9,0.000391342816307085
58798,208,True,7,4,0.00011905166842409606
372272,152,False,19,8,5.103795074569132e-05
372309,189,False,19,8,5.103287860352557e-05
372328,208,True,7,4,1.8800627403794502e-05
372332,2,True,7,4,1.880042542676966e-05
372358,28,False,11,5,2.9541462785813652e-05
372381,51,False,17,7,4.565216807517032e-05
372452,122,False,11,5,2.953400706668242e-05
372538,208,True,7,4,1.8790029473503375e-05
372542,2,True,7,4,1.878982772412238e-05
372609,69,False,17,7,4.562423344578365e-05
372688,148,False,11,5,2.951530502726141e-05
372746,206,False,29,10,7.780096902448317e-05
372748,208,True,7,4,1.877944348460622e-05
372752,2,True,7,4,1.877924196248444e-05
372759,9,False,11,5,2.9509683200137355e-05
372782,32,False,11,5,2.9507862504090864e-05
372842,92,False,71,20,0.00019042918984449176
372958,208,True,7,4,1.8768869416931664e-05
372962,2,True,7,4,1.876866812168532e-05
373018,58,False,11,5,2.9489193550981454e-05
373042,82,False,41,13,0.00010990719543643879
373071,111,False,13,6,3.4845914048532314e-05
373112,152,False,11,5,2.9481764188769056e-05
373168,208,True,7,4,1.875830725035373e-05
373172,2,True,7,4,1.8758106181599905e-05
373219,49,False,23,9,6.162601582448911e-05
423740,170,False,101,26,0.000238353707462123
423771,201,False,23,9,5.427459642118031e-05
423778,208,True,7,4,1.6518082580974e-05
423782,2,True,7,4,1.65179266698444e-05
423838,58,False,11,5,2.595331235047353e-05
423891,111,False,17,7,4.010464954434041e-05
423932,152,False,11,5,2.594755762716662e-05
423986,206,False,17,7,4.009566353606015e-05
423988,208,True,7,4,1.6509901223619536e-05
423992,2,True,7,4,1.65097454668956e-05
424089,99,False,13,6,3.0653942922358276e-05
566679,99,False,19,8,3.3528682022803035e-05
566691,111,False,17,7,2.9998711820021847e-05
566704,124,False,13,6,2.2939665151472372e-05
566728,148,False,11,5,1.9409663895201933e-05
566758,178,False,17,7,2.9995165485092402e-05
566788,208,True,7,4,1.235029675998786e-05
566792,2,True,7,4,1.2350209600700081e-05
566799,9,False,11,5,1.9407232546281838e-05
566822,32,False,11,5,1.9406445056825598e-05
566901,111,False,13,6,2.2931693540847522e-05
566972,182,False,17,7,2.998384399935094e-05
566998,208,True,7,4,1.2345722559867936e-05
567002,2,True,7,4,1.2345635465130635e-05
567058,58,False,11,5,1.9398368420867e-05
567088,88,False,37,12,6.524560562029174e-05
650841,51,False,89,24,0.00013674614844485827
650878,88,False,11,5,1.6900248587292858e-05
650945,155,False,31,11,4.762307107359301e-05
650972,182,False,11,5,1.6897808200659935e-05
650998,208,True,7,4,1.0752721206516763e-05
651002,2,True,7,4,1.0752655137772235e-05
651069,69,False,17,7,2.611090375981655e-05
651155,155,False,17,7,2.6107455214196313e-05
651208,208,True,7,4,1.0749253694672056e-05
651212,2,True,7,4,1.0749187668531907e-05
651214,4,False,151,36,0.00023187462186009515
651302,92,False,11,5,1.6889246463238253e-05
986038,88,False,41,13,4.158054760567037e-05
986080,130,False,41,13,4.157877656985234e-05
986132,182,False,331,67,0.0003356548616209595
986158,208,True,7,4,7.0982540323153084e-06
986162,2,True,7,4,7.098225240883344e-06
986164,4,False,23,9,2.3322692777266256e-05
986252,92,False,11,5,1.115333606421077e-05
986259,99,False,17,7,1.7236851577526796e-05
986368,208,True,7,4,7.096742797819881e-06
986372,2,True,7,4,7.096714018646109e-06
986398,28,False,29,10,2.9399897404495954e-05
986469,99,False,13,6,1.3178315790967582e-05
986488,118,False,11,5,1.1150667823632928e-05
