seed_n,cohort_role,n,bin_index,max_branch,full_uncovered_measure,exact_complete,k50,k90,k99,k50_censored,k90_censored,k99_censored,a_branch1,a_last,residual_last,cumulative_arc_width_last
7558,band_mod6_control,7498,3,1000,0.009772966315829024,False,127,,,False,True,True,0.9205605526278441,0.2744265872068833,0.2905766666876704,1.2745901505973012
7558,band_ordinary_control,7499,3,1000,0.08929336646095594,False,77,,,False,True,True,0.9204272015143623,0.2607478362995468,0.20628984479686557,1.274723501710783
7562,complete,7562,3,1000,0,True,128,,,False,True,True,0.9201616995398275,0.25200947022397086,0.27387520079351346,1.2760502962874996
7562,local_mod6_control,7556,3,1000,0.023317406660908035,False,128,,,False,True,True,0.9201616295390941,0.25826638236640814,0.26197300457764344,1.2757857460183204
7562,band_mod6_control,7496,3,1000,0.043835211395793716,False,141,,,False,True,True,0.920560552627844,0.2728145213147134,0.2611756489177536,1.2745901505973012
7562,band_ordinary_control,7498,3,1000,0.009772966315829024,False,127,,,False,True,True,0.9205605526278441,0.2744265872068833,0.2905766666876704,1.2745901505973012
13318,complete,13318,4,1000,0,True,198,,,False,True,True,0.9244372071507229,0.2777798950203787,0.3004854119584227,1.169408147587064
13318,local_mod6_control,13312,4,1000,0.03909918927118661,False,160,,,False,True,True,0.9243621490018077,0.33907859591421724,0.3388590964365121,1.1693330330373757
13318,band_mod6_control,13336,4,1000,0.0917353145090316,False,122,,,False,True,True,0.9244372859899629,0.3138989453526582,0.2667984926810205,1.169558196356291
13318,band_ordinary_control,13335,4,1000,0.020386813964261702,False,160,,,False,True,True,0.924437285989963,0.3171031952396194,0.3282077610230177,1.169558196356291
13341,complete,13341,4,1000,0,True,182,,,False,True,True,0.9242873384707514,0.3274017285045224,0.35422072214709116,1.1697081438755026
13341,local_mod6_control,13335,4,1000,0.020386813964261702,False,160,,,False,True,True,0.924437285989963,0.3171031952396194,0.3282077610230177,1.169558196356291
13341,band_mod6_control,13329,4,1000,0.008208480552631126,False,160,,,False,True,True,0.9245122991172602,0.3045837545098962,0.3234465119020576,1.1694831832289938
13341,band_ordinary_control,13334,4,1000,0.08735859969495857,False,124,,,False,True,True,0.924437285989963,0.34007290078433117,0.30190029351710274,1.169558196356291
