start,stop,length
729962,729962,1
730078,730078,1
730168,730168,1
730172,730172,1
730198,730198,1
730378,730378,1
730382,730382,1
730408,730408,1
730431,730431,1
730502,730502,1
730521,730521,1
730545,730545,1
730580,730580,1
730588,730588,1
730592,730592,1
730629,730629,1
730701,730701,1
730738,730738,1
730798,730798,1
730802,730802,1
730809,730809,1
730832,730832,1
730911,730911,1
731008,731008,1
731012,731012,1
731068,731068,1
731091,731091,1
731162,731162,1
731218,731218,1
731222,731222,1
731266,731266,1
731398,731398,1
731421,731421,1
731428,731428,1
731432,731432,1
731488,731488,1
731492,731492,1
731638,731638,1
731642,731642,1
731728,731728,1
731799,731799,1
731818,731818,1
731822,731822,1
731848,731848,1
731852,731852,1
731912,731912,1
731998,731998,1
732058,732058,1
732062,732062,1
732152,732152,1
732268,732268,1
732272,732272,1
732279,732279,1
732310,732310,1
732388,732388,1
732476,732476,1
732478,732478,1
732482,732482,1
732508,732508,1
732512,732512,1
732579,732579,1
732591,732591,1
732651,732651,1
732688,732688,1
732692,732692,1
732718,732718,1
732722,732722,1
732789,732789,1
732812,732812,1
732898,732898,1
732902,732902,1
732958,732958,1
733018,733018,1
733024,733024,1
733048,733048,1
733108,733108,1
733112,733112,1
733119,733119,1
733142,733142,1
733318,733318,1
733322,733322,1
733359,733359,1
733378,733378,1
733431,733431,1
733472,733472,1
733528,733528,1
733532,733532,1
733568,733568,1
733592,733592,1
733708,733708,1
733731,733731,1
733738,733738,1
733742,733742,1
733802,733802,1
733946,733946,1
733948,733948,1
733952,733952,1
734038,734038,1
734132,734132,1
734158,734158,1
734162,734162,1
734368,734368,1
734372,734372,1
734462,734462,1
734481,734481,1
734578,734578,1
734582,734582,1
734601,734601,1
734698,734698,1
734752,734752,1
734788,734788,1
734792,734792,1
734872,734872,1
734998,734998,1
735002,735002,1
735028,735028,1
735099,735099,1
735122,735122,1
735208,735208,1
735212,735212,1
735309,735309,1
735358,735358,1
735362,735362,1
735381,735381,1
735418,735418,1
735422,735422,1
735429,735429,1
735452,735452,1
735628,735628,1
735632,735632,1
735688,735688,1
735718,735718,1
735782,735782,1
735808,735808,1
735838,735838,1
735842,735842,1
736018,736018,1
736041,736041,1
736048,736048,1
736052,736052,1
736089,736089,1
736112,736112,1
736161,736161,1
736256,736256,1
736258,736258,1
736262,736262,1
736264,736264,1
736348,736348,1
736359,736359,1
736442,736442,1
736468,736468,1
736472,736472,1
736598,736598,1
736678,736678,1
736682,736682,1
736738,736738,1
736772,736772,1
736888,736888,1
736892,736892,1
737008,737008,1
737031,737031,1
737072,737072,1
737098,737098,1
737102,737102,1
737259,737259,1
737308,737308,1
737312,737312,1
737338,737338,1
737432,737432,1
737518,737518,1
737522,737522,1
737578,737578,1
737649,737649,1
737668,737668,1
737721,737721,1
737728,737728,1
737732,737732,1
737739,737739,1
737762,737762,1
737894,737894,1
737938,737938,1
737942,737942,1
737998,737998,1
738039,738039,1
738051,738051,1
738092,738092,1
738146,738146,1
738148,738148,1
738152,738152,1
738212,738212,1
738328,738328,1
738351,738351,1
738358,738358,1
738362,738362,1
738399,738399,1
738422,738422,1
738568,738568,1
738572,738572,1
738658,738658,1
738681,738681,1
738752,738752,1
738778,738778,1
738782,738782,1
738872,738872,1
738891,738891,1
738988,738988,1
738992,738992,1
739028,739028,1
739082,739082,1
739138,739138,1
739160,739160,1
739191,739191,1
739198,739198,1
739202,739202,1
739228,739228,1
739318,739318,1
739352,739352,1
739408,739408,1
739412,739412,1
739581,739581,1
739618,739618,1
739622,739622,1
739648,739648,1
739671,739671,1
739742,739742,1
739828,739828,1
739832,739832,1
739834,739834,1
739929,739929,1
739978,739978,1
740038,740038,1
740042,740042,1
740049,740049,1
740072,740072,1
740086,740086,1
740192,740192,1
740248,740248,1
740252,740252,1
740308,740308,1
740379,740379,1
740402,740402,1
740458,740458,1
740462,740462,1
740492,740492,1
740638,740638,1
740661,740661,1
740668,740668,1
740672,740672,1
740732,740732,1
740769,740769,1
740788,740788,1
740878,740878,1
740882,740882,1
740938,740938,1
740968,740968,1
741062,741062,1
741088,741088,1
741092,741092,1
741099,741099,1
741111,741111,1
741178,741178,1
741231,741231,1
741298,741298,1
741302,741302,1
741392,741392,1
741430,741430,1
741508,741508,1
741512,741512,1
741621,741621,1
741628,741628,1
741718,741718,1
741722,741722,1
741928,741928,1
741932,741932,1
741958,741958,1
741962,741962,1
742052,742052,1
742138,742138,1
742142,742142,1
742239,742239,1
742288,742288,1
742329,742329,1
742348,742348,1
742352,742352,1
742359,742359,1
742382,742382,1
742558,742558,1
742562,742562,1
742604,742604,1
742618,742618,1
742641,742641,1
742712,742712,1
742768,742768,1
742772,742772,1
742862,742862,1
742922,742922,1
742948,742948,1
742971,742971,1
742978,742978,1
742982,742982,1
743019,743019,1
743042,743042,1
743188,743188,1
743192,743192,1
743218,743218,1
743278,743278,1
743342,743342,1
743372,743372,1
743396,743396,1
743398,743398,1
743402,743402,1
743499,743499,1
743608,743608,1
743612,743612,1
