nearest_covered_source_k,nearest_covered_source_prime,nearest_covered_mod210,cohort_role,seed_mod210,selected_rank,priority_label,direction_label,mod210_signed_delta,row_count,share_within_anchor_role,share_within_class_role,circular_residue_distance_median,circular_residue_distance_max,distance_minus_complete_median,sample_seed_n
4,7,2,local_any_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,85,27,0.0944055944055944,0.24770642201834864,85,85,-1,76528 170608 181528 260698 291358 323698 330628 366958 405598 421768
4,7,2,local_any_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,96,18,0.06293706293706294,0.1125,96.0,96,-1.0,170619 207579 223749 339249 440889 463989 466929 487089 538539 610149
4,7,208,complete_uncertified,206,4,large_class_mixed_direction,mod210_tied__any_complete_smaller,-2,185,0.5040871934604905,1.0,2,2,0,836 3986 13436 13646 15536 17216 22676 30866 31706 38636
4,7,208,complete_uncertified,201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,-7,148,0.4032697547683924,1.0,7.0,7,0.0,201 3561 8811 10281 13851 15741 18051 20991 21621 28761
4,7,208,complete_uncertified,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,-90,18,0.04904632152588556,0.18181818181818182,90.0,90,0.0,64378 68998 90418 233638 390718 440908 443848 587068 760318 780478
4,7,208,complete_uncertified,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-97,16,0.043596730245231606,0.10457516339869281,97.0,97,0.0,55761 62691 184491 251481 320781 346821 366981 399321 520071 561651
4,7,208,local_mod210_control,206,4,large_class_mixed_direction,mod210_tied__any_complete_smaller,-2,185,0.5082417582417582,1.0,2,2,0,836 3986 13436 13646 15536 17216 22676 30866 31706 38636
4,7,208,local_mod210_control,201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,-7,149,0.40934065934065933,1.0,7,7,0,201 3561 8811 10281 13851 15741 18051 20991 21621 28761
4,7,208,local_mod210_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-97,18,0.04945054945054945,0.11920529801324503,97.0,97,78.0,39801 281721 303141 336741 418641 434181 470721 510411 537711 568161
4,7,208,local_mod210_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,-90,12,0.03296703296703297,0.11538461538461539,90.0,90,84.5,9148 86008 183028 209698 221668 261568 459598 485638 767458 813028
4,7,208,local_any_control,206,4,large_class_mixed_direction,mod210_tied__any_complete_smaller,-3,185,0.5040871934604905,1.0,3,3,1,836 3986 13436 13646 15536 17216 22676 30866 31706 38636
4,7,208,local_any_control,201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,-8,148,0.4032697547683924,1.0,8.0,8,1.0,201 3561 8811 10281 13851 15741 18051 20991 21621 28761
4,7,208,local_any_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,-91,18,0.04904632152588556,0.18181818181818182,91.0,91,1.0,64378 68998 90418 233638 390718 440908 443848 587068 760318 780478
4,7,208,local_any_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-98,16,0.043596730245231606,0.10526315789473684,98.0,98,1.0,55761 62691 184491 251481 320781 346821 366981 399321 520071 561651
5,11,28,complete_uncertified,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,34,15,1.0,0.13392857142857142,34,34,0,60542 81332 217622 275372 413972 531782 582602 591842 626492 670382
5,11,28,local_mod210_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,34,12,1.0,0.10619469026548672,34.0,34,-26.0,106952 118502 210902 224762 277892 347192 428042 520442 788402 908522
5,11,28,local_any_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,33,15,1.0,0.13392857142857142,33,33,-1,60542 81332 217622 275372 413972 531782 582602 591842 626492 670382
5,11,32,complete_uncertified,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,30,12,0.24489795918367346,0.10714285714285714,30.0,30,0.0,123332 243452 310442 388982 435182 462902 550682 601502 638462 654632
5,11,32,complete_uncertified,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,79,11,0.22448979591836735,0.0718954248366013,79,79,0,268911 359001 375171 444471 516081 546111 693951 802521 874131 945741
5,11,32,complete_uncertified,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,56,10,0.20408163265306123,0.09259259259259259,56.0,56,0.0,234238 305848 358978 689308 756298 758608 784018 802498 959578 996538
5,11,32,complete_uncertified,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,86,9,0.1836734693877551,0.09090909090909091,86,86,0,33298 97978 192688 564598 617728 622348 857968 936508 998878
5,11,32,complete_uncertified,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,67,7,0.14285714285714285,0.04375,67,67,0,5559 287379 518379 564579 784029 890289 945729
5,11,32,local_mod210_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,67,15,0.29411764705882354,0.10869565217391304,67,67,26,88509 98169 199809 222489 358779 363819 388809 463149 599019 682599
5,11,32,local_mod210_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,30,12,0.23529411764705882,0.10619469026548672,30.0,30,26.0,199772 340682 403052 446942 534722 543962 553202 622502 701042 712592
5,11,32,local_mod210_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,56,10,0.19607843137254902,0.09259259259259259,56.0,56,26.0,5758 45028 128188 280648 347638 634078 735718 788848 908968 948238
5,11,32,local_mod210_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,86,8,0.1568627450980392,0.07692307692307693,86.0,86,67.0,17338 82018 125908 552838 647968 696478 798118 915928
5,11,32,local_mod210_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,79,6,0.11764705882352941,0.039735099337748346,79.0,79,55.0,123591 190581 264081 317631 592521 911301
5,11,32,local_any_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,29,12,0.24,0.10714285714285714,29.0,29,-1.0,123332 243452 310442 388982 435182 462902 550682 601502 638462 654632
5,11,32,local_any_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,78,12,0.24,0.07894736842105263,78.0,78,-1.0,7881 268911 359001 375171 444471 516081 546111 693951 802521 874131
5,11,32,local_any_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,55,10,0.2,0.09174311926605505,55.0,55,-1.0,234238 305848 358978 689308 756298 758608 784018 802498 959578 996538
5,11,32,local_any_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,85,9,0.18,0.09090909090909091,85,85,-1,33298 97978 192688 564598 617728 622348 857968 936508 998878
5,11,32,local_any_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,66,7,0.14,0.04375,66,66,-1,5559 287379 518379 564579 784029 890289 945729
5,11,58,complete_uncertified,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,4,13,0.40625,0.11607142857142858,4,4,0,199772 340682 403052 446942 534722 543962 550892 553202 622502 701042
5,11,58,complete_uncertified,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,30,11,0.34375,0.10185185185185185,30,30,0,5758 45028 128188 215968 567088 574018 594808 634078 735718 788848
5,11,58,complete_uncertified,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,41,8,0.25,0.05,41.0,41,0.0,24249 98169 363819 627159 682599 814269 929769 955179
5,11,58,local_mod210_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,4,15,0.4838709677419355,0.13274336283185842,4,4,-56,26732 89102 255422 299312 377852 451772 500282 518762 717422 733592
5,11,58,local_mod210_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,30,9,0.2903225806451613,0.08333333333333333,30,30,-56,181528 209248 405598 419458 421768 444868 606568 622738 638908
5,11,58,local_mod210_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,41,7,0.22580645161290322,0.050724637681159424,41,41,-38,59109 315519 564579 765969 779829 916119 953079
5,11,58,local_any_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,3,13,0.40625,0.11607142857142858,3,3,-1,199772 340682 403052 446942 534722 543962 550892 553202 622502 701042
5,11,58,local_any_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,29,11,0.34375,0.10091743119266056,29,29,-1,5758 45028 128188 215968 567088 574018 594808 634078 735718 788848
5,11,58,local_any_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,40,8,0.25,0.05,40.0,40,-1.0,24249 98169 363819 627159 682599 814269 929769 955179
5,11,62,complete_uncertified,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,49,49,0.6363636363636364,0.3202614379084967,49,49,0,17751 31611 40851 57021 70881 112461 119391 158661 167901 177141
5,11,62,complete_uncertified,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,37,12,0.15584415584415584,0.075,37.0,37,0.0,17739 89349 107829 160959 373479 502839 509769 519009 588309 657609
5,11,62,complete_uncertified,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,26,10,0.12987012987012986,0.09259259259259259,26.0,26,0.0,1558 107818 271828 373468 378088 537478 588298 622948 639118 858568
5,11,62,complete_uncertified,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,56,6,0.07792207792207792,0.06060606060606061,56.0,56,0.0,209488 357328 657628 745408 828568 879388
5,11,62,local_mod210_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,49,14,0.5185185185185185,0.09271523178807947,49.0,49,26.0,68781 191211 235101 269751 306711 382941 403731 431451 433341 581181
5,11,62,local_mod210_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,56,10,0.37037037037037035,0.09615384615384616,56.0,56,26.0,36448 197728 318268 325198 339058 385258 637048 764098 780268 967378
5,11,62,local_mod210_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,37,3,0.1111111111111111,0.021739130434782608,37,37,26,151929 528039 623169
5,11,62,local_any_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,48,49,0.6363636363636364,0.3223684210526316,48,48,-1,17751 31611 40851 57021 70881 112461 119391 158661 167901 177141
5,11,62,local_any_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,36,12,0.15584415584415584,0.075,36.0,36,-1.0,17739 89349 107829 160959 373479 502839 509769 519009 588309 657609
