n,prime_count,uncovered_measure,uncovered_measure_times_log_n,random_arc_baseline,max_uncovered_gap,complete_scale_1_over_n,complete_scale_1_over_pi_n,complete_numeric_1e_9,branch1_uncovered_measure,branch1_max_uncovered_gap,branch1_exposed_gap_estimate,gap_fill_ratio,gap_fill_drop,uncovered_component_count,gap_p50,gap_p90,gap_p99
14266,1675,0.08861647901780545,0.8476728368064309,0.08043906781800438,0.004673679678612541,False,False,False,0.9257416208039946,0.007964470576872329,0.00796447057687224,0.5868161145807018,0.0032907908982597878,130,0.0004970469561169089,0.001543051732393286,0.0028867720577955727
14465,1696,0.05153767663496181,0.4937045145396388,0.08032167667422238,0.002148377454935624,False,False,False,0.9256711228425795,0.008077488245357811,0.008077488245358056,0.2659709788089523,0.005929110790422187,109,0.0003342335924587936,0.0011336472219103388,0.001820710780848736
14667,1717,0.02677486560681036,0.2568608002480069,0.08020601099214893,0.0015244608099930224,False,False,False,0.9257395511403761,0.0071520983811145245,0.007152098381114567,0.21314874722898636,0.005627637571121502,59,0.0003090048582635174,0.0010701575217784587,0.0014236217923229762
14871,1742,0.006775666423399551,0.06509496758406551,0.08007038059582841,0.001864979399858746,False,False,False,0.9249944651090596,0.007253364453566724,0.007253364453566767,0.2571192185085464,0.005388385053707978,7,0.0009627355141674787,0.0016963372882627505,0.0018481151886991464
15078,1761,0.06491379488426013,0.624535101710681,0.07996883424591228,0.0021522264282966552,False,False,False,0.9254603508063687,0.007356119732966571,0.007356119732966502,0.2925763182797878,0.005203893304669915,144,0.00031533765381427936,0.0010901514041375517,0.0016268847564810812
15289,1786,0.044364567935182925,0.42744768291067387,0.07983734476850107,0.0034710958713093376,False,False,False,0.9257922201390353,0.007460860621630316,0.007460860621630581,0.46524068031053073,0.003989764750320979,86,0.0003405331806386122,0.0010896358461572582,0.0034524717704743023
15502,1810,0.040672380354604076,0.3924365857580169,0.07971296949661187,0.002220929791147297,False,False,False,0.9257922811583029,0.007566594314926012,0.007566594314925832,0.29351775696051885,0.005345664523778715,80,0.00030272401758779655,0.0011495803935840715,0.0021792370230297948
15718,1831,0.02443682359508903,0.2361223189512005,0.07960580618699092,0.0032109902213928176,False,False,False,0.9257288584765554,0.007306791535248491,0.007306791535248493,0.4394528304116476,0.004095801313855674,36,0.0005338675736258902,0.0013032483547843476,0.002713351260410477
15937,1858,0.06399658888923875,0.6192565113791823,0.07947008702250576,0.0020549553436297607,False,False,False,0.9257920368930929,0.007410239858538836,0.007410239858538949,0.2773129322206529,0.0053552845149090755,153,0.0003426337003205396,0.0007826418656302265,0.0017552729080962041
16159,1879,0.07426121379908404,0.7196084236559498,0.07936622692178405,0.0019762676542947055,False,False,False,0.9254803932182692,0.007515105282148271,0.007515105282148495,0.26297271696102825,0.005538837627853566,171,0.0003213138121562209,0.0009680642133230444,0.0018527466961114967
16384,1900,0.02199991997858619,0.21348855507982,0.07926389340440276,0.002273404960467018,False,False,False,0.9259122606401011,0.007621387806076796,0.007621387806076909,0.29829278056869823,0.005347982845609778,36,0.0005531883253657721,0.0010501433641100788,0.0021493250850626584
16613,1921,0.08490928454094401,0.8251434005720648,0.0791630623217337,0.00239082708101062,False,False,False,0.9263353796072992,0.0077295597970973295,0.00772955979709722,0.309309604139222,0.00533873271608671,227,0.0002785387102076653,0.0008132064670681671,0.0016053733164099586
16844,1944,0.037509931591509726,0.3650372688616502,0.07905425650644055,0.002993283863566343,False,False,False,0.9261559725832388,0.007838676521663923,0.007838676521664038,0.38186087348977066,0.00484539265809758,74,0.0003533582090401999,0.0011305853868887332,0.0027769473123858673
17079,1969,0.022291334947047686,0.21724254348024447,0.0789378726391953,0.001463321115416194,False,False,False,0.9262157565304059,0.006610299910434492,0.006610299910434656,0.22136985238843887,0.005146978795018298,62,0.0002429086618166154,0.0008414217915850646,0.0012888355280821075
17317,1990,0.08157076333137186,0.7960852932583312,0.07884152859928885,0.0028636662262904178,False,False,False,0.9263894411773481,0.006703872335584338,0.006703872335584502,0.4271659845146512,0.00384020610929392,148,0.00037519459579285486,0.0012442739838206985,0.0021509030290430414
17559,2018,0.021877671058124187,0.21381752206626964,0.078714968649433,0.0013214140012757503,False,False,False,0.92673354246799,0.006799017406535213,0.006799017406535266,0.19435367234177217,0.005477603405259462,54,0.00028862534356015324,0.00106278338910894,0.0012645929448239438
17803,2042,0.11286195628331955,1.1045937648061792,0.07860815926808383,0.0024035279586953617,False,False,False,0.9269594376119442,0.006894948800386214,0.0068949488003863775,0.348592575272021,0.004491420841690852,238,0.00031993924116963113,0.0010310079947949973,0.0019939238650939625
18051,2069,0,0.0,0.07848990691372906,0.0,True,True,True,0.9269032594988249,0.0069924528400382435,0.0069924528400384075,0.0,0.0069924528400382435,0,0.0,0.0,0.0
18303,2097,0.040433333768650825,0.39684590344461673,0.07836911770299751,0.0015498367006563374,False,False,False,0.9267937066330455,0.00709152952549108,0.007091529525491133,0.21854759189612383,0.005541692824834743,109,0.00027015503690344667,0.000862817782193376,0.001366203215152675
18558,2125,0.11508714830210415,1.1311520185234574,0.07825014843393628,0.002778652923155822,False,False,False,0.9267946930249685,0.00719178569529455,0.007191785695294492,0.3863648113115832,0.004413132772138728,271,0.0003320569193389078,0.0009338153384294001,0.0017769762711595213
18817,2146,0.07676226394478475,0.7555338107307639,0.07816234103537865,0.002891936975975229,False,False,False,0.9272777316422752,0.007293614510898938,0.007293614510898991,0.3965025806688538,0.004401677534923709,152,0.0003670376854569002,0.001107798333630517,0.0019481660747592267
19079,2167,0.10832084832840391,1.0676474928811999,0.07807585609644552,0.0033045963373790066,False,False,False,0.9280717691570673,0.007396622810853848,0.007396622810853679,0.4467709685736337,0.004092026473474841,321,0.0002448934845920292,0.0007349656866269538,0.0015735975123511564
19345,2191,0.04372227959237923,0.4315471747673602,0.07797839914075544,0.004866365537213757,False,False,False,0.9280711025297541,0.006490393052948851,0.006490393052948723,0.7497797895310467,0.0016240275157350936,75,0.0004579019557566788,0.0011982541580686681,0.002511116959086211
19615,2225,0.02310867322110821,0.228407278284537,0.0778424173822847,0.002817597279738737,False,False,False,0.9279684369646047,0.0065823771950831444,0.006582377195083017,0.4280516288011275,0.0037647799153444073,34,0.00045343345198900487,0.0015565141239812896,0.0025883453628780953
19888,2248,0,0.0,0.0777518892379119,0.0,True,True,True,0.9285264034575414,0.00667538338324114,0.006675383383241124,0.0,0.00667538338324114,0,0.0,0.0,0.0
20166,2281,0.12963455713980943,1.2849057491295688,0.077623891599946,0.002377583616552603,False,False,False,0.9279762715843941,0.005424721864559778,0.00542472186455993,0.4382867317282352,0.003047138248007175,288,0.0003214596540188075,0.0009916008157012492,0.0017053492185278957
20447,2310,0.05528726438367183,0.5487587987402452,0.07751317222232966,0.002881741152627737,False,False,False,0.9282239250271642,0.005501600240668925,0.005501600240668854,0.5238005355833258,0.0026198590880411876,135,0.0003183091862205001,0.000864083541882288,0.0015070821977383388
20732,2334,0.010058804625339035,0.09997882146668995,0.0774229051015541,0.0015716656885734204,False,False,False,0.928709768908081,0.005579572970886404,0.005579572970886445,0.2816820743763364,0.0040079072823129835,31,0.00010336773153518664,0.0010363120311969176,0.0014541659973556162
21021,2365,0.03621566323594527,0.3604645357862781,0.07730806642510776,0.0021128372257919192,False,False,False,0.9285656473464531,0.005658640055212216,0.005658640055212257,0.3733825097862107,0.003545802829420297,81,0.00030261147712451475,0.0010321822939706182,0.0018834449781498738
21314,2392,0.08932699140469913,0.8903327901150894,0.07720949332225144,0.0024971011737030535,False,False,False,0.9287056762927073,0.005738801493646251,0.005738801493646291,0.43512590154368197,0.003241700319943197,239,0.0002818161238276051,0.0008150996999778953,0.0017613087635063884
21611,2427,0.11378241909718426,1.135657514664143,0.07708374599480282,0.0024963809027181982,False,False,False,0.9284737114851797,0.0052279686045377805,0.005227968604537708,0.47750495298525425,0.002731587701819582,263,0.0002671577169029993,0.0009237698080949876,0.0022402812003674286
21912,2457,0.03643868514083637,0.3641969953259198,0.07697758370837875,0.002463213304614187,False,False,False,0.9284737565523535,0.005301968597205775,0.005301968597205702,0.4645846650076994,0.002838755292591588,74,0.0003626191916453192,0.001168285186406648,0.0018288352481596014
22217,2489,0.0609051430993335,0.6095760094622054,0.07686604091985527,0.0015676071501629085,False,False,False,0.9283833385231465,0.0053769519784805375,0.005376951978480687,0.2915419658640685,0.003809344828317629,206,0.0002091869002252278,0.0006642212245947451,0.001295669546238903
22527,2517,0.016804460612278582,0.16842220014746065,0.07676987051026127,0.001563028977021097,False,False,False,0.9286514472000944,0.005453164595514037,0.0054531645955139645,0.2866278744468669,0.0038901356184929403,39,0.00031017745009942477,0.0010833216480682364,0.001532961689849228
22841,2550,0.031217377417833037,0.3133073534991083,0.0766582403534876,0.0015271805612916411,False,False,False,0.928519266388791,0.005530360601154305,0.005530360601154454,0.27614484324455907,0.004003180039862664,59,0.0004042825979377884,0.001411176557369065,0.0015143081974015415
23160,2584,0.08826364912235585,0.887065731634256,0.07654502012427586,0.0018263399379259138,False,False,False,0.9284334888887138,0.00560878584255331,0.005608785842553237,0.3256212644222661,0.003782445904627396,225,0.0002757628740451823,0.0008857392990909262,0.0016519931849856854
23482,2612,0.0023958451479757503,0.02411176029112138,0.07645311673011958,0.001666700321690251,False,False,False,0.928518453940469,0.005687948625407446,0.0056879486254074844,0.293023096981798,0.004021248303717195,5,0.00018179105977766952,0.0011765432406110278,0.0016176846135823285
