seed_n,cohort_role,n,bin_index,max_branch,branch,cumulative_uncovered_measure,full_uncovered_measure,fill_fraction,residual_fraction,cumulative_max_gap,cumulative_component_count,exact_complete
133352,band_mod6_control,133358,8,1000,13,0.7738245267248655,0.012621562614548054,0.1787219362232544,0.8212780637767456,0.000976839275612984,9153,False
133352,band_mod6_control,133358,8,1000,14,0.7680171275831957,0.012621562614548054,0.18498766264251995,0.81501233735748,0.000976839275612984,9127,False
133352,band_mod6_control,133358,8,1000,15,0.7621479891694778,0.012621562614548054,0.19132000087518797,0.808679999124812,0.000976839275612984,9124,False
133352,band_mod6_control,133358,8,1000,16,0.757103097978081,0.012621562614548054,0.19676304125335745,0.8032369587466426,0.000836391535915082,9101,False
133352,band_mod6_control,133358,8,1000,17,0.7518511078076275,0.012621562614548054,0.20242952512366905,0.7975704748763309,0.000836391535915082,9075,False
133352,band_mod6_control,133358,8,1000,18,0.7477819510684566,0.012621562614548054,0.2068198248538552,0.7931801751461448,0.000836391535915082,9061,False
133352,band_mod6_control,133358,8,1000,19,0.742875543467225,0.012621562614548054,0.21211345234195708,0.7878865476580429,0.000836391535915082,9044,False
133352,band_mod6_control,133358,8,1000,20,0.7388670073175962,0.012621562614548054,0.21643834722908345,0.7835616527709165,0.000836391535915082,9016,False
133352,band_mod6_control,133358,8,1000,30,0.7075449234453562,0.012621562614548054,0.2502324095342823,0.7497675904657177,0.000836391535915082,8783,False
133352,band_mod6_control,133358,8,1000,50,0.664203920755869,0.012621562614548054,0.29699393891504045,0.7030060610849596,0.0007537703110940264,8411,False
133352,band_mod6_control,133358,8,1000,100,0.6116154505625813,0.012621562614548054,0.3537327576186749,0.6462672423813252,0.0006390722922631209,7833,False
133352,band_mod6_control,133358,8,1000,200,0.5575826699749797,0.012621562614548054,0.41202987351775056,0.5879701264822494,0.0006390722922631209,7150,False
133352,band_mod6_control,133358,8,1000,500,0.47598723150242395,0.012621562614548054,0.500064927085991,0.499935072914009,0.0006390722922631209,6124,False
133352,band_mod6_control,133358,8,1000,1000,0.42743487259392493,0.012621562614548054,0.5524490995028326,0.4475509004971675,0.0006390722922631209,5475,False
133352,band_ordinary_control,133351,8,1000,1,0.939473255949488,0.04384147079288345,0.0,1.0,0.001374401313766871,5802,False
