n,p_prefix,prime_index,prefix_width_sum,poisson_prefix_baseline,product_prefix_baseline,uncovered_measure,uncovered_over_product_baseline,baseline_delta,log_uncovered_minus_log_product_baseline,component_count,max_gap,gap_p50,gap_p90,gap_p99,top_gap_share,numeric_complete_prefix
10000,13,6,1.3440226440226437,0.26079447237832387,0.19180819180819186,0.1071428571428572,0.5585937500000002,-0.08466533466533466,-0.5823328142196551,1,0.1071428571428572,0.1071428571428572,0.1071428571428572,0.1071428571428572,1.0,False
10000,17,7,1.4028461734344084,0.24589610407132353,0.18052535699594527,0.1071428571428572,0.5935058593750002,-0.07338249985308806,-0.5217081924032201,1,0.1071428571428572,0.1071428571428572,0.1071428571428572,0.1071428571428572,1.0,False
10000,19,8,1.4554777523817768,0.23328888295365452,0.17102402241721132,0.1071428571428572,0.6264784071180558,-0.06388116527435411,-0.46764097113294434,1,0.1071428571428572,0.1071428571428572,0.1071428571428572,0.1071428571428572,1.0,False
10000,23,9,1.498956013251342,0.2233632267168868,0.16358819535559344,0.1071428571428572,0.6549546983506946,-0.05644533821273623,-0.4231892085621105,1,0.1071428571428572,0.1071428571428572,0.1071428571428572,0.1071428571428572,1.0,False
10000,29,10,1.5334387718720317,0.21579232937126394,0.15794722310195228,0.1071428571428572,0.6783459375775052,-0.05080436595909507,-0.3880978887508404,1,0.1071428571428572,0.1071428571428572,0.1071428571428572,0.1071428571428572,1.0,False
10000,31,11,1.5656968363881607,0.20894236379016431,0.15285215138898609,0.1071428571428572,0.7009574688300887,-0.04570929424612888,-0.3553080659278496,1,0.1071428571428572,0.1071428571428572,0.1071428571428572,0.1071428571428572,1.0,False
10000,47,15,1.661646517015796,0.1898261706291461,0.1387040926358504,0.1071428571428572,0.7724563501103524,-0.031561235492993195,-0.2581797765182059,1,0.1071428571428572,0.1071428571428572,0.1071428571428572,0.1071428571428572,1.0,False
10000,97,25,1.8028172010488706,0.16483386336213293,0.12031729047493521,0.08827493261455532,0.7336845125592732,-0.032042357860379886,-0.3096761621679929,2,0.061320754716981174,0.04413746630727766,0.057884097035040466,0.0609770889487871,0.6946564885496183,False
10000,199,46,1.9490340749285706,0.14241156407230274,0.1038946390008959,0.07041955628555929,0.677797785937271,-0.03347508271533661,-0.38890628635734936,4,0.03876824314158189,0.014678867581162991,0.03522402356837957,0.038413821184261655,0.5505323405386462,False
10000,499,95,2.096709552838668,0.12286002830789179,0.08960973680803674,0.06091764494435015,0.6798105553512426,-0.028692091863686597,-0.385941114698503,6,0.02799425136125344,0.008604309509581631,0.01960266114689968,0.027155092339818068,0.45954257402476606,False
10000,997,168,2.198080127175088,0.11101609067106057,0.08096526350684251,0.05739088789377811,0.7088334602768002,-0.0235743756130644,-0.344134673868683,8,0.014517038005888883,0.0063590106041648276,0.012968527690732867,0.01436218697437328,0.25295022500362313,False
10000,1999,303,2.292448491968832,0.10101881503966252,0.0736716087048108,0.05183143778786636,0.703546979617967,-0.021840170916944443,-0.35162062481661893,15,0.011211070932545919,0.0022101256497361055,0.009157093497437317,0.01117237369382266,0.21629866758530106,False
10000,4999,669,2.405188657690577,0.09024846793609506,0.0658157198243846,0.045178388184533236,0.6864376520545891,-0.02063733163985136,-0.37623987792094793,32,0.005013600734780077,0.0013062039289634675,0.0024727543073649666,0.004689871882954569,0.11097343079841164,False
10000,9973,1229,2.4830599472335644,0.08348736739664342,0.060884692455838364,0.04192257961530432,0.6885569742462299,-0.01896211284053404,-0.373157212971722,49,0.0024790457207375383,0.0005775416216511342,0.001911510643003567,0.0023647364288587615,0.05913390214738918,False
39069,2,1,0.5,0.6065306597126334,0.5,0.5,1.0,0.0,0.0,1,0.5,0.5,0.5,0.5,1.0,False
39069,3,2,0.8333333333333333,0.43459820850707825,0.33333333333333337,0.1666666666666667,0.5000000000000001,-0.16666666666666666,-0.6931471805599452,2,0.08333333333333337,0.08333333333333336,0.08333333333333337,0.08333333333333337,0.5000000000000001,False
39069,5,3,1.0333333333333332,0.355818918537342,0.2666666666666667,0.08333333333333334,0.3125,-0.18333333333333338,-1.163150809805681,1,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,1.0,False
39069,7,4,1.176190476190476,0.308451556793032,0.22857142857142862,0.047619047619047616,0.2083333333333333,-0.180952380952381,-1.5686159179138455,1,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,1.0,False
39069,11,5,1.2670995670995668,0.2816473374460965,0.20779220779220783,0.047619047619047616,0.2291666666666666,-0.16017316017316022,-1.4733057381095207,1,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,1.0,False
39069,13,6,1.3440226440226437,0.26079447237832387,0.19180819180819186,0.047619047619047616,0.2482638888888888,-0.14418914418914425,-1.3932630304359843,1,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,1.0,False
39069,17,7,1.4028461734344084,0.24589610407132353,0.18052535699594527,0.008403361344537785,0.04654947916666649,-0.17212199565140748,-3.0672394640076597,1,0.008403361344537785,0.008403361344537785,0.008403361344537785,0.008403361344537785,1.0,False
39069,19,8,1.4554777523817768,0.23328888295365452,0.17102402241721132,0.008403361344537785,0.04913556134259241,-0.16262066107267353,-3.013172242737384,1,0.008403361344537785,0.008403361344537785,0.008403361344537785,0.008403361344537785,1.0,False
