n,prime_count,uncovered_measure,uncovered_measure_times_log_n,random_arc_baseline,max_uncovered_gap,complete_scale_1_over_n,complete_scale_1_over_pi_n,complete_numeric_1e_9,branch1_uncovered_measure,branch1_max_uncovered_gap,branch1_exposed_gap_estimate,gap_fill_ratio,gap_fill_drop,uncovered_component_count,gap_p50,gap_p90,gap_p99
39176,4124,0.035223569545660305,0.37251811694985315,0.0727666395948342,0.0013387011674916849,False,False,False,0.932418071861369,0.0052330652891255935,0.005233065289125677,0.25581587339900586,0.0038943641216339087,153,0.00016614300727990639,0.0004577314623205986,0.0009837706759356552
39177,4124,0.04777344849941437,0.5052445921250034,0.0727666395948342,0.0010269856659127774,False,False,False,0.9324180718613692,0.005233200167490959,0.00523320016749082,0.1962442927928672,0.0042062145015781816,229,0.00014799615410873712,0.00042796396553681517,0.0009222349352105485
39178,4124,0.005420055835463011,0.05732180939772307,0.0727666395948342,0.0010070308617833312,False,False,False,0.9324180718613692,0.005233335045856324,0.005233335045856186,0.19242621635331433,0.004226304184072993,17,0.00021162125813412036,0.0007498371861435871,0.0009793108571507858
39179,4124,0.05694860637097798,0.6022825478887296,0.0727666395948342,0.0010506246195266522,False,False,False,0.932418071861369,0.005233469924221579,0.005233469924221551,0.20075105708817484,0.0041828453046949265,313,0.00012714605175684346,0.00041493811914586896,0.0008325535488168321
39180,4124,0.16331729754677288,1.7272309497218352,0.0727666395948342,0.0013969445679898884,False,False,False,0.932418071861369,0.005233604802587055,0.005233604802586916,0.26691823717743385,0.0038366602345971668,674,0.0001915492562918064,0.0005436740107316762,0.0009914061121252262
39181,4125,0.06535718482840862,0.6912141368269658,0.07276478242653818,0.002125002425834688,False,False,False,0.9323925492866516,0.005233739680952421,0.005233739680952282,0.4060198931116853,0.003108737255117733,280,0.00018066287548391263,0.00046302989117165123,0.0009198539574291442
39182,4125,0.012088998635106651,0.12785291997826256,0.07276478242653818,0.0008559085032019409,False,False,False,0.9323925492866516,0.005233874559317675,0.005233874559317647,0.16353248315403326,0.004377966056115734,62,0.00014189692901858675,0.00038318070827718647,0.0007550461936175219
39183,4125,0.05434311744416559,0.5747327154371331,0.07276478242653818,0.0011160994839770622,False,False,False,0.9323925492866516,0.00523400943768304,0.005234009437683235,0.2132398684537203,0.004117909953705978,232,0.00016517838787910577,0.0004989354275599656,0.0009131840624432466
39184,4125,0.05971131100003835,0.6315082450231314,0.07276478242653818,0.001239630806445513,False,False,False,0.9323925492866516,0.005234144316048406,0.005234144316048378,0.2368354274536684,0.003994513509602893,221,0.00019436484547241673,0.0006319313447247232,0.0010019095714753916
39185,4125,0.025151698012850776,0.26600559814971814,0.07276478242653818,0.0010768265914516961,False,False,False,0.9323925492866516,0.005234279194413882,0.0052342791944137435,0.20572586051598185,0.004157452602962186,165,0.00010958457381843312,0.0003286476775296032,0.0006371381014077331
39186,4125,0.10797793497668384,1.1419827191286394,0.07276478242653818,0.0013343304017899849,False,False,False,0.9323925492866515,0.005234414072779137,0.005234414072779109,0.25491495002831166,0.0039000836709891518,394,0.00022976838612326356,0.000587982712871582,0.0009392686116824903
39187,4125,0.10856121565166818,1.148154309560676,0.07276478242653818,0.0016113966578494843,False,False,False,0.9323925492866516,0.005234548951144502,0.005234548951144474,0.3078386835024558,0.0036231522932950178,425,0.0001458036227262316,0.0006139503733275654,0.001296122074249157
39188,4125,0.020351044087204173,0.2152352035767297,0.07276478242653818,0.0010465705072404963,False,False,False,0.9323925492866515,0.0052346838295098674,0.00523468382950984,0.19993003232412768,0.004188113322269371,90,0.00016636381590806604,0.0005433512633415018,0.0009115756309041245
39189,4125,0.008790808347121537,0.09297291978033981,0.07276478242653818,0.000772814472582789,False,False,False,0.9323925492866516,0.005234818707875122,0.005234818707875205,0.14762965361535588,0.004462004235292333,51,0.00010527632068652037,0.00036333368126834076,0.00069394662248147
