seed_mod210,selected_rank,priority_label,direction_label,cohort_role,nearest_covered_source_k,nearest_covered_source_prime,nearest_covered_mod210,row_count,share_within_class_role,mod210_signed_delta_median,mod210_signed_delta_min,mod210_signed_delta_max,circular_residue_distance_median,circular_residue_distance_p90,circular_residue_distance_max,distance_minus_complete_median
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,5,11,58,8,0.04060913705583756,41.0,41,41,41.0,41,41,0.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,5,11,62,12,0.06091370558375635,37.0,37,37,37.0,37,37,0.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,5,11,88,10,0.050761421319796954,11.0,11,11,11.0,11,11,0.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,5,11,92,16,0.08121827411167512,7.0,7,7,7.0,7,7,0.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,5,11,118,9,0.04568527918781726,-19,-19,-19,19,19,19,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,5,11,122,26,0.1319796954314721,-23.0,-23,-23,23.0,23,23,0.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,5,11,148,46,0.233502538071066,-49.0,-49,-49,49.0,49,49,0.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,5,11,178,8,0.04060913705583756,-79.0,-79,-79,79.0,79,79,0.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,6,13,82,1,0.005076142131979695,17,17,17,17,17,17,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,6,13,111,13,0.06598984771573604,-12,-12,-12,12,12,12,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,6,13,124,1,0.005076142131979695,-25,-25,-25,25,25,25,0
