source,n,next_n,a_n,a_next,abs_delta_a,component_count_n,component_count_next,abs_delta_component_count,max_gap_n,max_gap_next,abs_delta_max_gap,c0_n,c0_next
data/summaries/prc_v0_covering_candidate_windows.csv,372630,372631,0.09047717636021879,0.025747813902113087,0.0647293624581057,2732,770,1962,0.00023476215730355854,0.0002596588315918469,2.4896674288288345e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372631,372632,0.025747813902113087,0.022117898023262472,0.0036299158788506147,770,823,53,0.0002596588315918469,0.0002500217840706864,9.637047521160458e-06,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372632,372633,0.022117898023262472,0.024537383370530186,0.0024194853472677136,823,837,14,0.0002500217840706864,0.0002074945277463769,4.252725632430954e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372633,372634,0.024537383370530186,0.03475970713008436,0.010222323759554175,837,981,144,0.0002074945277463769,0.0002969506203164274,8.94560925700505e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372634,372635,0.03475970713008436,0.04067185714535056,0.005912150015266196,981,1724,743,0.0002969506203164274,0.0001756931874435097,0.00012125743287291768,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372635,372636,0.04067185714535056,0.04880794722255277,0.008136090077202215,1724,1517,207,0.0001756931874435097,0.00033248104776151255,0.00015678786031800285,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372636,372637,0.04880794722255277,0.04903973159945115,0.00023178437689837933,1517,1772,255,0.00033248104776151255,0.00025045383530730714,8.202721245420541e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372637,372638,0.04903973159945115,0.058509375441583134,0.009469643842131982,1772,2060,288,0.00025045383530730714,0.000256586610489995,6.132775182687844e-06,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372638,372639,0.058509375441583134,0.003154308928483285,0.05535506651309985,2060,127,1933,0.000256586610489995,0.00010908881437043938,0.0001474977961195556,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372639,372640,0.003154308928483285,0.03167928566597633,0.028524976737493046,127,954,827,0.00010908881437043938,0.00021794018204202015,0.00010885136767158077,False,False
