seed_n,cohort_role,n,control_delta,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
9148,local_mod210_control,8938,-210,8,19,9699690,8938,118,2008,9028,4,7,90,9.278647049544883e-06
9148,local_any_control,9147,-1,8,19,9699690,9147,117,2217,9129,6,13,18,1.8557294099089764e-06
9501,complete_uncertified,9501,0,8,19,9699690,9501,51,261,9452,4,7,49,5.051707838085547e-06
9501,local_mod210_control,9291,-210,8,19,9699690,9291,51,51,9242,4,7,49,5.051707838085547e-06
9501,local_any_control,9500,-1,8,19,9699690,9500,50,260,9452,4,7,48,4.948611759757271e-06
9752,complete_uncertified,9752,0,8,19,9699690,9752,92,512,9771,7,17,19,1.958825488237253e-06
9752,local_mod210_control,9542,-210,8,19,9699690,9542,92,302,9452,4,7,90,9.278647049544883e-06
9752,local_any_control,9751,-1,8,19,9699690,9751,91,511,9771,7,17,20,2.0619215665655294e-06
10281,complete_uncertified,10281,0,8,19,9699690,10281,201,1041,10288,4,7,7,7.216725482979353e-07
10281,local_mod210_control,10071,-210,8,19,9699690,10071,201,831,10078,4,7,7,7.216725482979353e-07
10281,local_any_control,10280,-1,8,19,9699690,10280,200,1040,10288,4,7,8,8.247686266262118e-07
10892,complete_uncertified,10892,0,8,19,9699690,10892,182,1652,10918,4,7,26,2.680498036535188e-06
10892,local_mod210_control,10682,-210,8,19,9699690,10682,182,1442,10678,5,11,4,4.123843133131059e-07
10892,local_any_control,10891,-1,8,19,9699690,10891,181,1651,10918,4,7,27,2.783594114863465e-06
10929,complete_uncertified,10929,0,8,19,9699690,10929,9,1689,10922,4,7,7,7.216725482979353e-07
10929,local_mod210_control,10719,-210,8,19,9699690,10719,9,1479,10712,4,7,7,7.216725482979353e-07
10929,local_any_control,10928,-1,8,19,9699690,10928,8,1688,10922,4,7,6,6.185764699696588e-07
11151,complete_uncertified,11151,0,8,19,9699690,11151,21,1911,11132,4,7,19,1.958825488237253e-06
11151,local_mod210_control,10941,-210,8,19,9699690,10941,21,1701,10922,4,7,19,1.958825488237253e-06
