selected_rank,seed_mod210,priority_label,direction_label,seed_n,cohort_role,n,control_delta,row_mod210,residue,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,complete_circular_residue_distance,distance_minus_complete,normalized_residue_distance
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,157821,local_any_control,157820,-1,110,157820,157791,7,17,29,30,-1,2.9897862715200177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,158661,complete_uncertified,158661,0,111,158661,158612,5,11,49,49,0,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,158661,local_mod210_control,158451,-210,111,158451,158518,5,11,67,49,18,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,158661,local_any_control,158660,-1,110,158660,158612,5,11,48,49,-1,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,167901,complete_uncertified,167901,0,111,167901,167852,5,11,49,49,0,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,167901,local_mod210_control,167691,-210,111,167691,167642,8,19,49,49,0,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,167901,local_any_control,167900,-1,110,167900,167852,5,11,48,49,-1,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,172311,complete_uncertified,172311,0,111,172311,172299,7,17,12,12,0,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,172311,local_mod210_control,172101,-210,111,172101,172142,5,11,41,12,29,4.226939211459335e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,172311,local_any_control,172310,-1,110,172310,172299,7,17,11,12,-1,1.1340568616110413e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,173151,complete_uncertified,173151,0,111,173151,173132,5,11,19,19,0,1.958825488237253e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,173151,local_mod210_control,172941,-210,111,172941,172929,6,13,12,19,-7,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,173151,local_any_control,173150,-1,110,173150,173132,5,11,18,19,-1,1.8557294099089764e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,177141,complete_uncertified,177141,0,111,177141,177092,5,11,49,49,0,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,177141,local_mod210_control,176931,-210,111,176931,176998,5,11,67,49,18,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,177141,local_any_control,177140,-1,110,177140,177092,5,11,48,49,-1,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,184071,complete_uncertified,184071,0,111,184071,184046,6,13,25,25,0,2.5774019582069117e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,184071,local_mod210_control,183861,-210,111,183861,183849,6,13,12,25,-13,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,184071,local_any_control,184070,-1,110,184070,184046,6,13,24,25,-1,2.4743058798786353e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,184491,complete_uncertified,184491,0,111,184491,184588,4,7,97,97,0,1.0000319597842817e-05
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,184491,local_mod210_control,184281,-210,111,184281,184258,5,11,23,97,-74,2.371209801550359e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,184491,local_any_control,184490,-1,110,184490,184588,4,7,98,97,1,1.0103415676171094e-05
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,190581,complete_uncertified,190581,0,111,190581,190551,6,13,30,30,0,3.092882349848294e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,190581,local_mod210_control,190371,-210,111,190371,190292,5,11,79,30,49,8.144590187933842e-06
