n,k_cert,p_cert,primorial_cert,residue_cert,checked_max_k,checked_max_prime,certificate_status,mod210,trivial_c4_certificate
6302,4,7,210,2,8,19,prefix_certificate,2,True
6332,,,,,8,19,no_prefix_certificate_within_max_k,32,False
6388,5,11,2310,1768,8,19,prefix_certificate,88,False
6399,6,13,30030,6399,8,19,prefix_certificate,99,False
6482,5,11,2310,1862,8,19,prefix_certificate,182,False
6508,4,7,210,208,8,19,prefix_certificate,208,True
6512,4,7,210,2,8,19,prefix_certificate,2,True
6638,,,,,8,19,no_prefix_certificate_within_max_k,128,False
6718,4,7,210,208,8,19,prefix_certificate,208,True
6722,4,7,210,2,8,19,prefix_certificate,2,True
6778,8,19,9699690,6778,8,19,prefix_certificate,58,False
6789,6,13,30030,6789,8,19,prefix_certificate,69,False
6812,5,11,2310,2192,8,19,prefix_certificate,92,False
6928,4,7,210,208,8,19,prefix_certificate,208,True
6932,4,7,210,2,8,19,prefix_certificate,2,True
6939,8,19,9699690,6939,8,19,prefix_certificate,9,False
7048,5,11,2310,118,8,19,prefix_certificate,118,False
7138,4,7,210,208,8,19,prefix_certificate,208,True
7142,4,7,210,2,8,19,prefix_certificate,2,True
7251,6,13,30030,7251,8,19,prefix_certificate,111,False
7348,4,7,210,208,8,19,prefix_certificate,208,True
7352,4,7,210,2,8,19,prefix_certificate,2,True
7378,5,11,2310,448,8,19,prefix_certificate,28,False
7472,5,11,2310,542,8,19,prefix_certificate,122,False
7558,4,7,210,208,8,19,prefix_certificate,208,True
7562,4,7,210,2,8,19,prefix_certificate,2,True
7708,5,11,2310,778,8,19,prefix_certificate,148,False
7731,7,17,510510,7731,8,19,prefix_certificate,171,False
7768,4,7,210,208,8,19,prefix_certificate,208,True
7772,4,7,210,2,8,19,prefix_certificate,2,True
7779,5,11,2310,849,8,19,prefix_certificate,9,False
7802,5,11,2310,872,8,19,prefix_certificate,32,False
7881,,,,,8,19,no_prefix_certificate_within_max_k,111,False
7959,7,17,510510,7959,8,19,prefix_certificate,189,False
7978,4,7,210,208,8,19,prefix_certificate,208,True
7982,4,7,210,2,8,19,prefix_certificate,2,True
8038,5,11,2310,1108,8,19,prefix_certificate,58,False
8079,7,17,510510,8079,8,19,prefix_certificate,99,False
8132,5,11,2310,1202,8,19,prefix_certificate,152,False
8146,6,13,30030,8146,8,19,prefix_certificate,166,False
8188,4,7,210,208,8,19,prefix_certificate,208,True
8192,4,7,210,2,8,19,prefix_certificate,2,True
8368,5,11,2310,1438,8,19,prefix_certificate,178,False
8391,5,11,2310,1461,8,19,prefix_certificate,201,False
8398,4,7,210,208,8,19,prefix_certificate,208,True
8402,4,7,210,2,8,19,prefix_certificate,2,True
8462,5,11,2310,1532,8,19,prefix_certificate,62,False
8608,4,7,210,208,8,19,prefix_certificate,208,True
8612,4,7,210,2,8,19,prefix_certificate,2,True
8698,5,11,2310,1768,8,19,prefix_certificate,88,False
8792,5,11,2310,1862,8,19,prefix_certificate,182,False
8811,,,,,8,19,no_prefix_certificate_within_max_k,201,False
8818,4,7,210,208,8,19,prefix_certificate,208,True
8822,4,7,210,2,8,19,prefix_certificate,2,True
9028,4,7,210,208,8,19,prefix_certificate,208,True
9032,4,7,210,2,8,19,prefix_certificate,2,True
9051,,,,,8,19,no_prefix_certificate_within_max_k,21,False
9099,7,17,510510,9099,8,19,prefix_certificate,69,False
9122,5,11,2310,2192,8,19,prefix_certificate,92,False
9129,6,13,30030,9129,8,19,prefix_certificate,99,False
9148,,,,,8,19,no_prefix_certificate_within_max_k,118,False
9182,8,19,9699690,9182,8,19,prefix_certificate,152,False
9238,4,7,210,208,8,19,prefix_certificate,208,True
9242,4,7,210,2,8,19,prefix_certificate,2,True
9358,5,11,2310,118,8,19,prefix_certificate,118,False
9448,4,7,210,208,8,19,prefix_certificate,208,True
9452,4,7,210,2,8,19,prefix_certificate,2,True
9501,,,,,8,19,no_prefix_certificate_within_max_k,51,False
9658,4,7,210,208,8,19,prefix_certificate,208,True
9662,4,7,210,2,8,19,prefix_certificate,2,True
9688,5,11,2310,448,8,19,prefix_certificate,28,False
9752,,,,,8,19,no_prefix_certificate_within_max_k,92,False
9771,7,17,510510,9771,8,19,prefix_certificate,111,False
9782,5,11,2310,542,8,19,prefix_certificate,122,False
9838,7,17,510510,9838,8,19,prefix_certificate,178,False
9868,4,7,210,208,8,19,prefix_certificate,208,True
9872,4,7,210,2,8,19,prefix_certificate,2,True
9874,8,19,9699690,9874,8,19,prefix_certificate,4,False
9981,6,13,30030,9981,8,19,prefix_certificate,111,False
10018,5,11,2310,778,8,19,prefix_certificate,148,False
10052,7,17,510510,10052,8,19,prefix_certificate,182,False
10078,4,7,210,208,8,19,prefix_certificate,208,True
10082,4,7,210,2,8,19,prefix_certificate,2,True
10089,5,11,2310,849,8,19,prefix_certificate,9,False
10112,5,11,2310,872,8,19,prefix_certificate,32,False
10281,,,,,8,19,no_prefix_certificate_within_max_k,201,False
10288,4,7,210,208,8,19,prefix_certificate,208,True
10292,4,7,210,2,8,19,prefix_certificate,2,True
10348,5,11,2310,1108,8,19,prefix_certificate,58,False
10371,6,13,30030,10371,8,19,prefix_certificate,81,False
10442,5,11,2310,1202,8,19,prefix_certificate,152,False
10498,4,7,210,208,8,19,prefix_certificate,208,True
10502,4,7,210,2,8,19,prefix_certificate,2,True
10678,5,11,2310,1438,8,19,prefix_certificate,178,False
10701,5,11,2310,1461,8,19,prefix_certificate,201,False
10708,4,7,210,208,8,19,prefix_certificate,208,True
10712,4,7,210,2,8,19,prefix_certificate,2,True
10772,5,11,2310,1532,8,19,prefix_certificate,62,False
10892,,,,,8,19,no_prefix_certificate_within_max_k,182,False
10918,4,7,210,208,8,19,prefix_certificate,208,True
10922,4,7,210,2,8,19,prefix_certificate,2,True
10929,,,,,8,19,no_prefix_certificate_within_max_k,9,False
11008,5,11,2310,1768,8,19,prefix_certificate,88,False
11079,6,13,30030,11079,8,19,prefix_certificate,159,False
11102,5,11,2310,1862,8,19,prefix_certificate,182,False
11128,4,7,210,208,8,19,prefix_certificate,208,True
11132,4,7,210,2,8,19,prefix_certificate,2,True
11151,,,,,8,19,no_prefix_certificate_within_max_k,21,False
11338,4,7,210,208,8,19,prefix_certificate,208,True
11342,4,7,210,2,8,19,prefix_certificate,2,True
11361,,,,,8,19,no_prefix_certificate_within_max_k,21,False
11378,7,17,510510,11378,8,19,prefix_certificate,38,False
11432,5,11,2310,2192,8,19,prefix_certificate,92,False
11492,,,,,8,19,no_prefix_certificate_within_max_k,152,False
11548,4,7,210,208,8,19,prefix_certificate,208,True
11552,4,7,210,2,8,19,prefix_certificate,2,True
11576,,,,,8,19,no_prefix_certificate_within_max_k,26,False
11608,,,,,8,19,no_prefix_certificate_within_max_k,58,False
11649,7,17,510510,11649,8,19,prefix_certificate,99,False
11668,5,11,2310,118,8,19,prefix_certificate,118,False
11758,4,7,210,208,8,19,prefix_certificate,208,True
11762,4,7,210,2,8,19,prefix_certificate,2,True
11859,6,13,30030,11859,8,19,prefix_certificate,99,False
11912,,,,,8,19,no_prefix_certificate_within_max_k,152,False
11931,7,17,510510,11931,8,19,prefix_certificate,171,False
11968,4,7,210,208,8,19,prefix_certificate,208,True
11972,4,7,210,2,8,19,prefix_certificate,2,True
11998,5,11,2310,448,8,19,prefix_certificate,28,False
12021,,,,,8,19,no_prefix_certificate_within_max_k,51,False
12092,5,11,2310,542,8,19,prefix_certificate,122,False
12178,4,7,210,208,8,19,prefix_certificate,208,True
12182,4,7,210,2,8,19,prefix_certificate,2,True
12184,7,17,510510,12184,8,19,prefix_certificate,4,False
12268,,,,,8,19,no_prefix_certificate_within_max_k,88,False
12328,5,11,2310,778,8,19,prefix_certificate,148,False
12388,4,7,210,208,8,19,prefix_certificate,208,True
12392,4,7,210,2,8,19,prefix_certificate,2,True
12399,5,11,2310,849,8,19,prefix_certificate,9,False
12422,5,11,2310,872,8,19,prefix_certificate,32,False
12434,7,17,510510,12434,8,19,prefix_certificate,44,False
12598,4,7,210,208,8,19,prefix_certificate,208,True
12602,4,7,210,2,8,19,prefix_certificate,2,True
12658,5,11,2310,1108,8,19,prefix_certificate,58,False
12711,6,13,30030,12711,8,19,prefix_certificate,111,False
12752,5,11,2310,1202,8,19,prefix_certificate,152,False
12808,4,7,210,208,8,19,prefix_certificate,208,True
12812,4,7,210,2,8,19,prefix_certificate,2,True
12988,5,11,2310,1438,8,19,prefix_certificate,178,False
13011,5,11,2310,1461,8,19,prefix_certificate,201,False
13018,4,7,210,208,8,19,prefix_certificate,208,True
13022,4,7,210,2,8,19,prefix_certificate,2,True
13048,8,19,9699690,13048,8,19,prefix_certificate,28,False
13075,8,19,9699690,13075,8,19,prefix_certificate,55,False
13082,5,11,2310,1532,8,19,prefix_certificate,62,False
13228,4,7,210,208,8,19,prefix_certificate,208,True
13232,4,7,210,2,8,19,prefix_certificate,2,True
13318,5,11,2310,1768,8,19,prefix_certificate,88,False
13341,7,17,510510,13341,8,19,prefix_certificate,111,False
13412,5,11,2310,1862,8,19,prefix_certificate,182,False
13436,,,,,8,19,no_prefix_certificate_within_max_k,206,False
13438,4,7,210,208,8,19,prefix_certificate,208,True
13442,4,7,210,2,8,19,prefix_certificate,2,True
13556,,,,,8,19,no_prefix_certificate_within_max_k,116,False
13622,,,,,8,19,no_prefix_certificate_within_max_k,182,False
13646,,,,,8,19,no_prefix_certificate_within_max_k,206,False
13648,4,7,210,208,8,19,prefix_certificate,208,True
13652,4,7,210,2,8,19,prefix_certificate,2,True
13742,5,11,2310,2192,8,19,prefix_certificate,92,False
13851,,,,,8,19,no_prefix_certificate_within_max_k,201,False
13858,4,7,210,208,8,19,prefix_certificate,208,True
13862,4,7,210,2,8,19,prefix_certificate,2,True
13978,5,11,2310,118,8,19,prefix_certificate,118,False
14068,4,7,210,208,8,19,prefix_certificate,208,True
14072,4,7,210,2,8,19,prefix_certificate,2,True
14152,6,13,30030,14152,8,19,prefix_certificate,82,False
14278,4,7,210,208,8,19,prefix_certificate,208,True
14282,4,7,210,2,8,19,prefix_certificate,2,True
14308,5,11,2310,448,8,19,prefix_certificate,28,False
14402,5,11,2310,542,8,19,prefix_certificate,122,False
14488,4,7,210,208,8,19,prefix_certificate,208,True
14492,4,7,210,2,8,19,prefix_certificate,2,True
14589,6,13,30030,14589,8,19,prefix_certificate,99,False
14608,,,,,8,19,no_prefix_certificate_within_max_k,118,False
14638,5,11,2310,778,8,19,prefix_certificate,148,False
14661,6,13,30030,14661,8,19,prefix_certificate,171,False
14698,4,7,210,208,8,19,prefix_certificate,208,True
14702,4,7,210,2,8,19,prefix_certificate,2,True
14709,5,11,2310,849,8,19,prefix_certificate,9,False
14732,5,11,2310,872,8,19,prefix_certificate,32,False
14864,8,19,9699690,14864,8,19,prefix_certificate,164,False
14908,4,7,210,208,8,19,prefix_certificate,208,True
14912,4,7,210,2,8,19,prefix_certificate,2,True
14968,5,11,2310,1108,8,19,prefix_certificate,58,False
14991,,,,,8,19,no_prefix_certificate_within_max_k,81,False
15032,,,,,8,19,no_prefix_certificate_within_max_k,122,False
15062,5,11,2310,1202,8,19,prefix_certificate,152,False
15118,4,7,210,208,8,19,prefix_certificate,208,True
15122,4,7,210,2,8,19,prefix_certificate,2,True
15219,7,17,510510,15219,8,19,prefix_certificate,99,False
15298,5,11,2310,1438,8,19,prefix_certificate,178,False
15321,5,11,2310,1461,8,19,prefix_certificate,201,False
15328,4,7,210,208,8,19,prefix_certificate,208,True
15332,4,7,210,2,8,19,prefix_certificate,2,True
15369,6,13,30030,15369,8,19,prefix_certificate,39,False
15392,5,11,2310,1532,8,19,prefix_certificate,62,False
15441,6,13,30030,15441,8,19,prefix_certificate,111,False
15536,,,,,8,19,no_prefix_certificate_within_max_k,206,False
15538,4,7,210,208,8,19,prefix_certificate,208,True
15542,4,7,210,2,8,19,prefix_certificate,2,True
15628,5,11,2310,1768,8,19,prefix_certificate,88,False
15722,5,11,2310,1862,8,19,prefix_certificate,182,False
15741,,,,,8,19,no_prefix_certificate_within_max_k,201,False
15748,4,7,210,208,8,19,prefix_certificate,208,True
15752,4,7,210,2,8,19,prefix_certificate,2,True
15759,,,,,8,19,no_prefix_certificate_within_max_k,9,False
15875,,,,,8,19,no_prefix_certificate_within_max_k,125,False
15878,6,13,30030,15878,8,19,prefix_certificate,128,False
15958,4,7,210,208,8,19,prefix_certificate,208,True
15962,4,7,210,2,8,19,prefix_certificate,2,True
16052,5,11,2310,2192,8,19,prefix_certificate,92,False
16168,4,7,210,208,8,19,prefix_certificate,208,True
16172,4,7,210,2,8,19,prefix_certificate,2,True
16288,5,11,2310,118,8,19,prefix_certificate,118,False
16378,4,7,210,208,8,19,prefix_certificate,208,True
16382,4,7,210,2,8,19,prefix_certificate,2,True
16468,7,17,510510,16468,8,19,prefix_certificate,88,False
16552,,,,,8,19,no_prefix_certificate_within_max_k,172,False
16588,4,7,210,208,8,19,prefix_certificate,208,True
16592,4,7,210,2,8,19,prefix_certificate,2,True
