seed_n,control_role,metric,complete_n,control_n,complete_value,control_value,delta_complete_minus_control
7558,local_mod6_control,residual_gap_entropy,7558,7552,0.9262666018944979,0.9324144527003908,-0.006147850805892863
7558,local_mod6_control,residual_gap_count,7558,7552,291.0,234.0,57.0
7558,local_mod6_control,residual_uncovered_measure,7558,7552,0.2892552234334774,0.21109184290349847,0.07816338052997895
7558,band_mod6_control,residual_top_gap_share,7558,7498,0.017522669888510676,0.02136864329728127,-0.003845973408770593
7558,band_mod6_control,residual_gap_max,7558,7498,0.005068523793752222,0.00586412385331414,-0.0007956000595619184
7558,band_mod6_control,residual_gap_p90,7558,7498,0.002322036416656629,0.001943657142834565,0.00037837927382206385
7558,band_mod6_control,residual_gap_entropy,7558,7498,0.9262666018944979,0.9287170858527348,-0.002450483958236882
7558,band_mod6_control,residual_gap_count,7558,7498,291.0,291.0,0.0
7558,band_mod6_control,residual_uncovered_measure,7558,7498,0.2892552234334774,0.2744265872068833,0.014828636226594138
7558,band_ordinary_control,residual_top_gap_share,7558,7499,0.017522669888510676,0.020636849686167916,-0.0031141797976572405
7558,band_ordinary_control,residual_gap_max,7558,7499,0.005068523793752222,0.005381013903707266,-0.00031249010995504367
7558,band_ordinary_control,residual_gap_p90,7558,7499,0.002322036416656629,0.002160976240327128,0.00016106017632950068
7558,band_ordinary_control,residual_gap_entropy,7558,7499,0.9262666018944979,0.9362734601332963,-0.010006858238798322
7558,band_ordinary_control,residual_gap_count,7558,7499,291.0,262.0,29.0
7558,band_ordinary_control,residual_uncovered_measure,7558,7499,0.2892552234334774,0.2607478362995468,0.02850738713393064
7562,local_mod6_control,residual_top_gap_share,7562,7556,0.022294248996152267,0.02260283097003514,-0.0003085819738828724
7562,local_mod6_control,residual_gap_max,7562,7556,0.0056183618785616285,0.005837551385870388,-0.00021918950730875908
7562,local_mod6_control,residual_gap_p90,7562,7556,0.0018625576999538596,0.0022494031748895305,-0.0003868454749356709
7562,local_mod6_control,residual_gap_entropy,7562,7556,0.9370979493674407,0.9262182191286275,0.010879730238813279
7562,local_mod6_control,residual_gap_count,7562,7556,294.0,268.0,26.0
7562,local_mod6_control,residual_uncovered_measure,7562,7556,0.2520094702239709,0.25826638236640814,-0.006256912142437232
7562,band_mod6_control,residual_top_gap_share,7562,7496,0.022294248996152267,0.02283733383573654,-0.0005430848395842729
7562,band_mod6_control,residual_gap_max,7562,7496,0.0056183618785616285,0.006230356298500772,-0.0006119944199391436
7562,band_mod6_control,residual_gap_p90,7562,7496,0.0018625576999538596,0.0020588450933988756,-0.000196287393445016
7562,band_mod6_control,residual_gap_entropy,7562,7496,0.9370979493674407,0.9329444193474185,0.004153530020022278
7562,band_mod6_control,residual_gap_count,7562,7496,294.0,301.0,-7.0
7562,band_mod6_control,residual_uncovered_measure,7562,7496,0.2520094702239709,0.2728145213147134,-0.020805051090742488
