n,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
30034,8,19,9699690,30034,4,4,30032,4,7,2,2.0619215665655295e-07
30320,8,19,9699690,30320,80,290,30242,4,7,78,8.041494109605565e-06
30501,8,19,9699690,30501,51,471,30478,5,11,23,2.371209801550359e-06
30549,8,19,9699690,30549,99,519,30572,5,11,23,2.371209801550359e-06
30759,8,19,9699690,30759,99,729,30808,5,11,49,5.051707838085547e-06
30866,8,19,9699690,30866,206,836,30868,4,7,2,2.0619215665655295e-07
31611,8,19,9699690,31611,111,1581,31562,5,11,49,5.051707838085547e-06
31706,8,19,9699690,31706,206,1676,31708,4,7,2,2.0619215665655295e-07
31858,8,19,9699690,31858,148,1828,31892,5,11,34,3.5052666631614e-06
31905,8,19,9699690,31905,195,1875,31892,5,11,13,1.340249018267594e-06
31929,8,19,9699690,31929,9,1899,31922,4,7,7,7.216725482979353e-07
32241,8,19,9699690,32241,111,2211,32222,5,11,19,1.958825488237253e-06
32260,8,19,9699690,32260,130,2230,32222,5,11,38,3.917650976474506e-06
32470,8,19,9699690,32470,130,130,32458,5,11,12,1.2371529399393177e-06
32481,8,19,9699690,32481,141,141,32458,5,11,23,2.371209801550359e-06
32974,8,19,9699690,32974,4,634,32972,4,7,2,2.0619215665655295e-07
32998,8,19,9699690,32998,28,658,32972,4,7,26,2.680498036535188e-06
33298,8,19,9699690,33298,118,958,33212,5,11,86,8.866262736231776e-06
33381,8,19,9699690,33381,201,1041,33388,4,7,7,7.216725482979353e-07
33632,8,19,9699690,33632,32,1292,33602,4,7,30,3.092882349848294e-06
33921,8,19,9699690,33921,111,1581,33896,6,13,25,2.5774019582069117e-06
34089,8,19,9699690,34089,69,1749,34108,5,11,19,1.958825488237253e-06
34509,8,19,9699690,34509,69,2169,34532,5,11,23,2.371209801550359e-06
34618,8,19,9699690,34618,178,2278,34648,4,7,30,3.092882349848294e-06
34622,8,19,9699690,34622,182,2282,34648,4,7,26,2.680498036535188e-06
34730,8,19,9699690,34730,80,80,34761,7,17,31,3.1959784281765704e-06
35121,8,19,9699690,35121,51,471,35098,5,11,23,2.371209801550359e-06
35284,8,19,9699690,35284,4,634,35282,4,7,2,2.0619215665655295e-07
35379,8,19,9699690,35379,99,729,35428,5,11,49,5.051707838085547e-06
35402,8,19,9699690,35402,122,752,35428,5,11,26,2.680498036535188e-06
36058,8,19,9699690,36058,148,1408,36088,5,11,30,3.092882349848294e-06
36092,8,19,9699690,36092,182,1442,36088,5,11,4,4.123843133131059e-07
36129,8,19,9699690,36129,9,1479,36122,4,7,7,7.216725482979353e-07
36448,8,19,9699690,36448,118,1798,36429,6,13,19,1.958825488237253e-06
36489,8,19,9699690,36489,159,1839,36512,5,11,23,2.371209801550359e-06
36578,8,19,9699690,36578,38,1928,36572,7,17,6,6.185764699696588e-07
36626,8,19,9699690,36626,86,1976,36639,7,17,13,1.340249018267594e-06
37082,8,19,9699690,37082,122,122,37078,5,11,4,4.123843133131059e-07
37138,8,19,9699690,37138,178,178,37149,7,17,11,1.1340568616110413e-06
37252,8,19,9699690,37252,82,292,37281,6,13,29,2.9897862715200177e-06
37558,8,19,9699690,37558,178,598,37588,4,7,30,3.092882349848294e-06
37804,8,19,9699690,37804,4,844,37802,4,7,2,2.0619215665655295e-07
38061,8,19,9699690,38061,51,1101,38068,5,11,7,7.216725482979353e-07
38462,8,19,9699690,38462,32,1502,38451,7,17,11,1.1340568616110413e-06
38510,8,19,9699690,38510,80,1550,38492,5,11,18,1.8557294099089764e-06
38636,8,19,9699690,38636,206,1676,38638,4,7,2,2.0619215665655295e-07
39069,8,19,9699690,39069,9,2109,39062,4,7,7,7.216725482979353e-07
39129,8,19,9699690,39129,69,2169,39152,5,11,23,2.371209801550359e-06
39471,8,19,9699690,39471,201,201,39478,4,7,7,7.216725482979353e-07
39657,8,19,9699690,39657,177,387,39688,4,7,31,3.1959784281765704e-06
39801,8,19,9699690,39801,111,531,39812,5,11,11,1.1340568616110413e-06
39838,8,19,9699690,39838,148,568,39812,5,11,26,2.680498036535188e-06
40071,8,19,9699690,40071,171,801,40048,5,11,23,2.371209801550359e-06
40198,8,19,9699690,40198,88,928,40209,7,17,11,1.1340568616110413e-06
40797,8,19,9699690,40797,57,1527,40802,5,11,5,5.154803916413823e-07
40851,8,19,9699690,40851,111,1581,40802,5,11,49,5.051707838085547e-06
40906,8,19,9699690,40906,166,1636,40948,4,7,42,4.3300352897876115e-06
41552,8,19,9699690,41552,182,2282,41578,4,7,26,2.680498036535188e-06
41589,8,19,9699690,41589,9,9,41582,4,7,7,7.216725482979353e-07
41620,8,19,9699690,41620,40,40,41582,4,7,38,3.917650976474506e-06
41786,8,19,9699690,41786,206,206,41788,4,7,2,2.0619215665655295e-07
41942,8,19,9699690,41942,152,362,41901,7,17,41,4.226939211459335e-06
42242,8,19,9699690,42242,32,662,42212,4,7,30,3.092882349848294e-06
42251,8,19,9699690,42251,41,671,42212,4,7,39,4.020747054802782e-06
42279,8,19,9699690,42279,69,699,42212,4,7,67,6.907437247994524e-06
42639,8,19,9699690,42639,9,1059,42632,4,7,7,7.216725482979353e-07
42669,8,19,9699690,42669,39,1089,42688,5,11,19,1.958825488237253e-06
42711,8,19,9699690,42711,81,1131,42688,5,11,23,2.371209801550359e-06
43382,8,19,9699690,43382,122,1802,43348,5,11,34,3.5052666631614e-06
43839,8,19,9699690,43839,159,2259,43888,4,7,49,5.051707838085547e-06
44188,8,19,9699690,44188,88,298,44182,6,13,6,6.185764699696588e-07
44319,8,19,9699690,44319,9,429,44312,4,7,7,7.216725482979353e-07
44398,8,19,9699690,44398,88,508,44432,5,11,34,3.5052666631614e-06
44638,8,19,9699690,44638,118,748,44619,6,13,19,1.958825488237253e-06
44672,8,19,9699690,44672,152,782,44668,5,11,4,4.123843133131059e-07
44906,8,19,9699690,44906,176,1016,44938,4,7,32,3.2990745065048473e-06
45028,8,19,9699690,45028,88,1138,44998,5,11,30,3.092882349848294e-06
45038,8,19,9699690,45038,98,1148,44998,5,11,40,4.123843133131059e-06
45069,8,19,9699690,45069,129,1179,45081,7,17,12,1.2371529399393177e-06
45662,8,19,9699690,45662,92,1772,45658,5,11,4,4.123843133131059e-07
45699,8,19,9699690,45699,129,1809,45658,5,11,41,4.226939211459335e-06
45718,8,19,9699690,45718,148,1828,45752,5,11,34,3.5052666631614e-06
45932,8,19,9699690,45932,152,2042,45908,6,13,24,2.4743058798786353e-06
46048,8,19,9699690,46048,58,2158,46082,5,11,34,3.5052666631614e-06
46059,8,19,9699690,46059,69,2169,46082,5,11,23,2.371209801550359e-06
46108,8,19,9699690,46108,118,2218,46082,5,11,26,2.680498036535188e-06
46135,8,19,9699690,46135,145,2245,46082,5,11,53,5.464092151398653e-06
46280,8,19,9699690,46280,80,80,46269,8,19,11,1.1340568616110413e-06
46558,8,19,9699690,46558,148,358,46618,4,7,60,6.185764699696588e-06
46582,8,19,9699690,46582,172,382,46618,4,7,36,3.711458819817953e-06
46985,8,19,9699690,46985,155,785,46978,5,11,7,7.216725482979353e-07
47031,8,19,9699690,47031,201,831,47038,4,7,7,7.216725482979353e-07
47162,8,19,9699690,47162,122,962,47248,4,7,86,8.866262736231776e-06
47204,8,19,9699690,47204,164,1004,47248,4,7,44,4.536227446444165e-06
47421,8,19,9699690,47421,171,1221,47402,5,11,19,1.958825488237253e-06
47464,8,19,9699690,47464,4,1264,47462,4,7,2,2.0619215665655295e-07
47626,8,19,9699690,47626,166,1426,47638,5,11,12,1.2371529399393177e-06
48111,8,19,9699690,48111,21,1911,48092,4,7,19,1.958825488237253e-06
48182,8,19,9699690,48182,92,1982,48201,6,13,19,1.958825488237253e-06
48304,8,19,9699690,48304,4,2104,48302,4,7,2,2.0619215665655295e-07
48538,8,19,9699690,48538,28,28,48512,4,7,26,2.680498036535188e-06
48572,8,19,9699690,48572,62,62,48628,5,11,56,5.773380386383483e-06
48812,8,19,9699690,48812,92,302,48722,4,7,90,9.278647049544883e-06
48985,8,19,9699690,48985,55,475,48981,6,13,4,4.123843133131059e-07
49082,8,19,9699690,49082,152,572,49052,5,11,30,3.092882349848294e-06
49144,8,19,9699690,49144,4,634,49142,4,7,2,2.0619215665655295e-07
49293,8,19,9699690,49293,153,783,49288,5,11,5,5.154803916413823e-07
49311,8,19,9699690,49311,171,801,49288,5,11,23,2.371209801550359e-06
49389,8,19,9699690,49389,39,879,49382,5,11,7,7.216725482979353e-07
49641,8,19,9699690,49641,81,1131,49618,5,11,23,2.371209801550359e-06
50181,8,19,9699690,50181,201,1671,50188,4,7,7,7.216725482979353e-07
50222,8,19,9699690,50222,32,1712,50192,4,7,30,3.092882349848294e-06
50528,8,19,9699690,50528,128,2018,50608,4,7,80,8.247686266262118e-06
50697,8,19,9699690,50697,87,2187,50702,5,11,5,5.154803916413823e-07
51115,8,19,9699690,51115,85,295,51032,4,7,83,8.556974501246948e-06
51549,8,19,9699690,51549,99,729,51598,5,11,49,5.051707838085547e-06
51561,8,19,9699690,51561,111,741,51598,5,11,37,3.8145548981462296e-06
51639,8,19,9699690,51639,189,819,51658,4,7,19,1.958825488237253e-06
