start,stop,length
39471,39471,1
39478,39478,1
39482,39482,1
39657,39657,1
39688,39688,1
39692,39692,1
39718,39718,1
39801,39801,1
39812,39812,1
39838,39838,1
39898,39898,1
39902,39902,1
39999,39999,1
40011,40011,1
40048,40048,1
40071,40071,1
40108,40108,1
40112,40112,1
40114,40114,1
40119,40119,1
40142,40142,1
40198,40198,1
40209,40209,1
40318,40318,1
40322,40322,1
40378,40378,1
40401,40401,1
40472,40472,1
40528,40528,1
40532,40532,1
40708,40708,1
40731,40731,1
40738,40738,1
40742,40742,1
40797,40797,1
40802,40802,1
40851,40851,1
40906,40906,1
40948,40948,1
40952,40952,1
41038,41038,1
41109,41109,1
41132,41132,1
41158,41158,1
41162,41162,1
41368,41368,1
41372,41372,1
41391,41391,1
41462,41462,1
41511,41511,1
41552,41552,1
41578,41578,1
41582,41582,1
41589,41589,1
41620,41620,1
41672,41672,1
41698,41698,1
41786,41786,1
41788,41788,1
41792,41792,1
41889,41889,1
41901,41901,1
41942,41942,1
41996,41996,1
41998,41998,1
42002,42002,1
42028,42028,1
42122,42122,1
42208,42208,1
42212,42212,1
42242,42242,1
42251,42251,1
42279,42279,1
42358,42358,1
42418,42418,1
42422,42422,1
42429,42429,1
42452,42452,1
42628,42628,1
42632,42632,1
42639,42639,1
42669,42669,1
42688,42688,1
42711,42711,1
42741,42741,1
42759,42759,1
42782,42782,1
42838,42838,1
42842,42842,1
42988,42988,1
43018,43018,1
43041,43041,1
43048,43048,1
43052,43052,1
43112,43112,1
43202,43202,1
43258,43258,1
43262,43262,1
43348,43348,1
43382,43382,1
43442,43442,1
43468,43468,1
43472,43472,1
43600,43600,1
43678,43678,1
43682,43682,1
43772,43772,1
43779,43779,1
43839,43839,1
43888,43888,1
43892,43892,1
44008,44008,1
44098,44098,1
44102,44102,1
44182,44182,1
44188,44188,1
44308,44308,1
44312,44312,1
44319,44319,1
44338,44338,1
44398,44398,1
44432,44432,1
44518,44518,1
44522,44522,1
44619,44619,1
44638,44638,1
44668,44668,1
44672,44672,1
44691,44691,1
44728,44728,1
44732,44732,1
44739,44739,1
44762,44762,1
44906,44906,1
44938,44938,1
44942,44942,1
44998,44998,1
45028,45028,1
45038,45038,1
45069,45069,1
45081,45081,1
45092,45092,1
45148,45148,1
45152,45152,1
45328,45328,1
45351,45351,1
45358,45358,1
45362,45362,1
45399,45399,1
45422,45422,1
45471,45471,1
45538,45538,1
45568,45568,1
45572,45572,1
45574,45574,1
45658,45658,1
45662,45662,1
45699,45699,1
45718,45718,1
45752,45752,1
45778,45778,1
45782,45782,1
45908,45908,1
45932,45932,1
45988,45988,1
45992,45992,1
46048,46048,1
46059,46059,1
46082,46082,1
46108,46108,1
46135,46135,1
46198,46198,1
46202,46202,1
46232,46232,1
46269,46269,1
46280,46280,1
46318,46318,1
46408,46408,1
46412,46412,1
46558,46558,1
46582,46582,1
46618,46618,1
46622,46622,1
46648,46648,1
46742,46742,1
46828,46828,1
46832,46832,1
46978,46978,1
46985,46985,1
47001,47001,1
47031,47031,1
47038,47038,1
47042,47042,1
47049,47049,1
47072,47072,1
47162,47162,1
47204,47204,1
47248,47248,1
47252,47252,1
47308,47308,1
47349,47349,1
47402,47402,1
47421,47421,1
47458,47458,1
47462,47462,1
47464,47464,1
47626,47626,1
47638,47638,1
47661,47661,1
47668,47668,1
47672,47672,1
47732,47732,1
47739,47739,1
47781,47781,1
47839,47839,1
47878,47878,1
47882,47882,1
47968,47968,1
48062,48062,1
48088,48088,1
48092,48092,1
48111,48111,1
48182,48182,1
48201,48201,1
48298,48298,1
48302,48302,1
48304,48304,1
48369,48369,1
48392,48392,1
48508,48508,1
48512,48512,1
48538,48538,1
48572,48572,1
48628,48628,1
48718,48718,1
48722,48722,1
48812,48812,1
48928,48928,1
48932,48932,1
48958,48958,1
48981,48981,1
48985,48985,1
49041,49041,1
49052,49052,1
49082,49082,1
49138,49138,1
49142,49142,1
49144,49144,1
49288,49288,1
49293,49293,1
49311,49311,1
49348,49348,1
49352,49352,1
49359,49359,1
49382,49382,1
49389,49389,1
49558,49558,1
49562,49562,1
49618,49618,1
49641,49641,1
49689,49689,1
49712,49712,1
49768,49768,1
49772,49772,1
49832,49832,1
49948,49948,1
49971,49971,1
49978,49978,1
49982,49982,1
50042,50042,1
50061,50061,1
50079,50079,1
50098,50098,1
50181,50181,1
50188,50188,1
50192,50192,1
50222,50222,1
50278,50278,1
50372,50372,1
50398,50398,1
50402,50402,1
50528,50528,1
50608,50608,1
50612,50612,1
50697,50697,1
50702,50702,1
50818,50818,1
50822,50822,1
50919,50919,1
50931,50931,1
50938,50938,1
51028,51028,1
51032,51032,1
51115,51115,1
51238,51238,1
51242,51242,1
51268,51268,1
51362,51362,1
51448,51448,1
51452,51452,1
51454,51454,1
51549,51549,1
51561,51561,1
51598,51598,1
51639,51639,1
51658,51658,1
51662,51662,1
51669,51669,1
51692,51692,1
51711,51711,1
51868,51868,1
51872,51872,1
51902,51902,1
51914,51914,1
51928,51928,1
52022,52022,1
52078,52078,1
52082,52082,1
52258,52258,1
52281,52281,1
52288,52288,1
52292,52292,1
52347,52347,1
52352,52352,1
52498,52498,1
52502,52502,1
52588,52588,1
52611,52611,1
52682,52682,1
52706,52706,1
52708,52708,1
52712,52712,1
52809,52809,1
52918,52918,1
52922,52922,1
52958,52958,1
53012,53012,1
53128,53128,1
53132,53132,1
53188,53188,1
53248,53248,1
53252,53252,1
53271,53271,1
53300,53300,1
53308,53308,1
53319,53319,1
53338,53338,1
53342,53342,1
53349,53349,1
53548,53548,1
53552,53552,1
53578,53578,1
53642,53642,1
53661,53661,1
53672,53672,1
53679,53679,1
53733,53733,1
53758,53758,1
53762,53762,1
53764,53764,1
53908,53908,1
53966,53966,1
53968,53968,1
53972,53972,1
53979,53979,1
53998,53998,1
54002,54002,1
54051,54051,1
54178,54178,1
54182,54182,1
54238,54238,1
54332,54332,1
54369,54369,1
54388,54388,1
54392,54392,1
54394,54394,1
54489,54489,1
54568,54568,1
54591,54591,1
54598,54598,1
54602,54602,1
54662,54662,1
54808,54808,1
54812,54812,1
54898,54898,1
54992,54992,1
55018,55018,1
55022,55022,1
55228,55228,1
55232,55232,1
55322,55322,1
55414,55414,1
55438,55438,1
55442,55442,1
55539,55539,1
55558,55558,1
55629,55629,1
55648,55648,1
55652,55652,1
55761,55761,1
55858,55858,1
55862,55862,1
55888,55888,1
55982,55982,1
56001,56001,1
56008,56008,1
56015,56015,1
56068,56068,1
56072,56072,1
56181,56181,1
56194,56194,1
56218,56218,1
56248,56248,1
56278,56278,1
56282,56282,1
56289,56289,1
56312,56312,1
56391,56391,1
56462,56462,1
56488,56488,1
56492,56492,1
56548,56548,1
56642,56642,1
56698,56698,1
56702,56702,1
56758,56758,1
56878,56878,1
56901,56901,1
56908,56908,1
56912,56912,1
56938,56938,1
56972,56972,1
56996,56996,1
57021,57021,1
57116,57116,1
57118,57118,1
57122,57122,1
57208,57208,1
57302,57302,1
57328,57328,1
57332,57332,1
57471,57471,1
57482,57482,1
57508,57508,1
57538,57538,1
57542,57542,1
57561,57561,1
57632,57632,1
57748,57748,1
57752,57752,1
57868,57868,1
57920,57920,1
57958,57958,1
57962,57962,1
58059,58059,1
58078,58078,1
58166,58166,1
58168,58168,1
58172,58172,1
58198,58198,1
58221,58221,1
58255,58255,1
58269,58269,1
58292,58292,1
58322,58322,1
58341,58341,1
58378,58378,1
58382,58382,1
58528,58528,1
58551,58551,1
58588,58588,1
58592,58592,1
58599,58599,1
58622,58622,1
58766,58766,1
58772,58772,1
58798,58798,1
58802,58802,1
58858,58858,1
58952,58952,1
59008,59008,1
59012,59012,1
59109,59109,1
59121,59121,1
59188,59188,1
59211,59211,1
59218,59218,1
59222,59222,1
59224,59224,1
59229,59229,1
59269,59269,1
59282,59282,1
59428,59428,1
59432,59432,1
59518,59518,1
59589,59589,1
59612,59612,1
59638,59638,1
59642,59642,1
59673,59673,1
59751,59751,1
59848,59848,1
59852,59852,1
59912,59912,1
59942,59942,1
59949,59949,1
60058,60058,1
60062,60062,1
60178,60178,1
60268,60268,1
60272,60272,1
60321,60321,1
60478,60478,1
60482,60482,1
60508,60508,1
60542,60542,1
60602,60602,1
60609,60609,1
60628,60628,1
60688,60688,1
60692,60692,1
60838,60838,1
60891,60891,1
60898,60898,1
60902,60902,1
60909,60909,1
60928,60928,1
60932,60932,1
60981,60981,1
60999,60999,1
61052,61052,1
61108,61108,1
61112,61112,1
61168,61168,1
61208,61208,1
61262,61262,1
61318,61318,1
61322,61322,1
61442,61442,1
61498,61498,1
61521,61521,1
61528,61528,1
61532,61532,1
61588,61588,1
61592,61592,1
61629,61629,1
61738,61738,1
61742,61742,1
61828,61828,1
61851,61851,1
61922,61922,1
61948,61948,1
61952,61952,1
61954,61954,1
61978,61978,1
61988,61988,1
62158,62158,1
62162,62162,1
62200,62200,1
62252,62252,1
62368,62368,1
62372,62372,1
62488,62488,1
62534,62534,1
62559,62559,1
62578,62578,1
62582,62582,1
62612,62612,1
62638,62638,1
62691,62691,1
62788,62788,1
62792,62792,1
62818,62818,1
62878,62878,1
62912,62912,1
62968,62968,1
62998,62998,1
63002,63002,1
63092,63092,1
63148,63148,1
63171,63171,1
63208,63208,1
63212,63212,1
63219,63219,1
63242,63242,1
63309,63309,1
63321,63321,1
63418,63418,1
63422,63422,1
63429,63429,1
63478,63478,1
63572,63572,1
63586,63586,1
63626,63626,1
63628,63628,1
63632,63632,1
63729,63729,1
63808,63808,1
63831,63831,1
63838,63838,1
63842,63842,1
63902,63902,1
63926,63926,1
63951,63951,1
64048,64048,1
64052,64052,1
64138,64138,1
64209,64209,1
64232,64232,1
64258,64258,1
64262,64262,1
64378,64378,1
64461,64461,1
64468,64468,1
64472,64472,1
64562,64562,1
64581,64581,1
64678,64678,1
64682,64682,1
64684,64684,1
64798,64798,1
64881,64881,1
64888,64888,1
64892,64892,1
64918,64918,1
64945,64945,1
64971,64971,1
65079,65079,1
65098,65098,1
65102,65102,1
65128,65128,1
65199,65199,1
65222,65222,1
65308,65308,1
65312,65312,1
65361,65361,1
65458,65458,1
65518,65518,1
65522,65522,1
65529,65529,1
65552,65552,1
65576,65576,1
65612,65612,1
65644,65644,1
65672,65672,1
65728,65728,1
65732,65732,1
65788,65788,1
65882,65882,1
65938,65938,1
65942,65942,1
65998,65998,1
66118,66118,1
66141,66141,1
66148,66148,1
66152,66152,1
66212,66212,1
66356,66356,1
66358,66358,1
66362,66362,1
66448,66448,1
66459,66459,1
66542,66542,1
66568,66568,1
66572,66572,1
66752,66752,1
66778,66778,1
66782,66782,1
66849,66849,1
66872,66872,1
66891,66891,1
66988,66988,1
66992,66992,1
67108,67108,1
67172,67172,1
67198,67198,1
67202,67202,1
67311,67311,1
67408,67408,1
67412,67412,1
67414,67414,1
67438,67438,1
67532,67532,1
67618,67618,1
67622,67622,1
67629,67629,1
67768,67768,1
67828,67828,1
67832,67832,1
67839,67839,1
67862,67862,1
67994,67994,1
68038,68038,1
68042,68042,1
68098,68098,1
68192,68192,1
68206,68206,1
68248,68248,1
68252,68252,1
68421,68421,1
68428,68428,1
68451,68451,1
68458,68458,1
68462,68462,1
68488,68488,1
68522,68522,1
68668,68668,1
68672,68672,1
68758,68758,1
68769,68769,1
68781,68781,1
68852,68852,1
68878,68878,1
68882,68882,1
68998,68998,1
69088,69088,1
69092,69092,1
69182,69182,1
69189,69189,1
69298,69298,1
69302,69302,1
69418,69418,1
69441,69441,1
69508,69508,1
69512,69512,1
69579,69579,1
69651,69651,1
69665,69665,1
69718,69718,1
69722,69722,1
69748,69748,1
69842,69842,1
69928,69928,1
69932,69932,1
69969,69969,1
70018,70018,1
70041,70041,1
70078,70078,1
70138,70138,1
70142,70142,1
70149,70149,1
70172,70172,1
70348,70348,1
70352,70352,1
70408,70408,1
70431,70431,1
70461,70461,1
70502,70502,1
70558,70558,1
70562,70562,1
70569,70569,1
70738,70738,1
70742,70742,1
70761,70761,1
70768,70768,1
70772,70772,1
70809,70809,1
70832,70832,1
70881,70881,1
70978,70978,1
70982,70982,1
