seed_n,control_role,complete_n,control_n,metric,complete_value,control_value,delta_complete_minus_control
5342,local_mod210_control,5342,5132,normalized_residue_distance,4.226939211459335e-06,3.092882349848294e-06,1.134056861611041e-06
5372,local_any_control,5372,5371,circular_residue_distance,26.0,27.0,-1.0
5372,local_any_control,5372,5371,normalized_residue_distance,2.680498036535188e-06,2.783594114863465e-06,-1.0309607832827681e-07
5372,local_mod210_control,5372,5582,circular_residue_distance,26.0,56.0,-30.0
5372,local_mod210_control,5372,5582,normalized_residue_distance,2.680498036535188e-06,5.773380386383483e-06,-3.0928823498482945e-06
5402,local_any_control,5402,5401,circular_residue_distance,4.0,3.0,1.0
5402,local_any_control,5402,5401,normalized_residue_distance,4.123843133131059e-07,3.092882349848294e-07,1.0309607832827649e-07
5402,local_mod210_control,5402,5192,circular_residue_distance,4.0,30.0,-26.0
5402,local_mod210_control,5402,5192,normalized_residue_distance,4.123843133131059e-07,3.092882349848294e-06,-2.680498036535188e-06
5559,local_any_control,5559,5558,circular_residue_distance,67.0,66.0,1.0
5559,local_any_control,5559,5558,normalized_residue_distance,6.907437247994524e-06,6.804341169666247e-06,1.0309607832827638e-07
5559,local_mod210_control,5559,5349,circular_residue_distance,67.0,48.0,19.0
5559,local_mod210_control,5559,5349,normalized_residue_distance,6.907437247994524e-06,4.948611759757271e-06,1.958825488237253e-06
5758,local_any_control,5758,5757,circular_residue_distance,30.0,29.0,1.0
5758,local_any_control,5758,5757,normalized_residue_distance,3.092882349848294e-06,2.9897862715200177e-06,1.0309607832827638e-07
5758,local_mod210_control,5758,5548,circular_residue_distance,30.0,56.0,-26.0
5758,local_mod210_control,5758,5548,normalized_residue_distance,3.092882349848294e-06,5.773380386383483e-06,-2.6804980365351885e-06
6332,local_any_control,6332,6331,circular_residue_distance,30.0,29.0,1.0
6332,local_any_control,6332,6331,normalized_residue_distance,3.092882349848294e-06,2.9897862715200177e-06,1.0309607832827638e-07
6332,local_mod210_control,6332,6122,circular_residue_distance,30.0,8.0,22.0
6332,local_mod210_control,6332,6122,normalized_residue_distance,3.092882349848294e-06,8.247686266262118e-07,2.268113723222082e-06
6638,local_any_control,6638,6637,circular_residue_distance,80.0,81.0,-1.0
6638,local_any_control,6638,6637,normalized_residue_distance,8.247686266262118e-06,8.350782344590395e-06,-1.0309607832827723e-07
6638,local_mod210_control,6638,6428,circular_residue_distance,80.0,29.0,51.0
6638,local_mod210_control,6638,6428,normalized_residue_distance,8.247686266262118e-06,2.9897862715200177e-06,5.2578999947421e-06
7881,local_any_control,7881,7880,circular_residue_distance,78.0,78.0,0.0
7881,local_any_control,7881,7880,normalized_residue_distance,8.041494109605565e-06,8.041494109605565e-06,0.0
7881,local_mod210_control,7881,7671,circular_residue_distance,78.0,37.0,41.0
7881,local_mod210_control,7881,7671,normalized_residue_distance,8.041494109605565e-06,3.8145548981462296e-06,4.226939211459335e-06
8811,local_any_control,8811,8810,circular_residue_distance,7.0,8.0,-1.0
8811,local_any_control,8811,8810,normalized_residue_distance,7.216725482979353e-07,8.247686266262118e-07,-1.0309607832827649e-07
8811,local_mod210_control,8811,8601,circular_residue_distance,7.0,7.0,0.0
8811,local_mod210_control,8811,8601,normalized_residue_distance,7.216725482979353e-07,7.216725482979353e-07,0.0
9051,local_any_control,9051,9050,circular_residue_distance,19.0,18.0,1.0
9051,local_any_control,9051,9050,normalized_residue_distance,1.958825488237253e-06,1.8557294099089764e-06,1.030960783282766e-07
9051,local_mod210_control,9051,8841,circular_residue_distance,19.0,19.0,0.0
9051,local_mod210_control,9051,8841,normalized_residue_distance,1.958825488237253e-06,1.958825488237253e-06,0.0
9148,local_any_control,9148,9147,circular_residue_distance,19.0,18.0,1.0
9148,local_any_control,9148,9147,normalized_residue_distance,1.958825488237253e-06,1.8557294099089764e-06,1.030960783282766e-07
9148,local_mod210_control,9148,8938,circular_residue_distance,19.0,90.0,-71.0
9148,local_mod210_control,9148,8938,normalized_residue_distance,1.958825488237253e-06,9.278647049544883e-06,-7.31982156130763e-06
9501,local_any_control,9501,9500,circular_residue_distance,49.0,48.0,1.0
9501,local_any_control,9501,9500,normalized_residue_distance,5.051707838085547e-06,4.948611759757271e-06,1.0309607832827638e-07
9501,local_mod210_control,9501,9291,circular_residue_distance,49.0,49.0,0.0
9501,local_mod210_control,9501,9291,normalized_residue_distance,5.051707838085547e-06,5.051707838085547e-06,0.0
9752,local_any_control,9752,9751,circular_residue_distance,19.0,20.0,-1.0
9752,local_any_control,9752,9751,normalized_residue_distance,1.958825488237253e-06,2.0619215665655294e-06,-1.0309607832827638e-07
9752,local_mod210_control,9752,9542,circular_residue_distance,19.0,90.0,-71.0
9752,local_mod210_control,9752,9542,normalized_residue_distance,1.958825488237253e-06,9.278647049544883e-06,-7.31982156130763e-06
10281,local_any_control,10281,10280,circular_residue_distance,7.0,8.0,-1.0
10281,local_any_control,10281,10280,normalized_residue_distance,7.216725482979353e-07,8.247686266262118e-07,-1.0309607832827649e-07
10281,local_mod210_control,10281,10071,circular_residue_distance,7.0,7.0,0.0
10281,local_mod210_control,10281,10071,normalized_residue_distance,7.216725482979353e-07,7.216725482979353e-07,0.0
10892,local_any_control,10892,10891,circular_residue_distance,26.0,27.0,-1.0
10892,local_any_control,10892,10891,normalized_residue_distance,2.680498036535188e-06,2.783594114863465e-06,-1.0309607832827681e-07
10892,local_mod210_control,10892,10682,circular_residue_distance,26.0,4.0,22.0
10892,local_mod210_control,10892,10682,normalized_residue_distance,2.680498036535188e-06,4.123843133131059e-07,2.268113723222082e-06
10929,local_any_control,10929,10928,circular_residue_distance,7.0,6.0,1.0
10929,local_any_control,10929,10928,normalized_residue_distance,7.216725482979353e-07,6.185764699696588e-07,1.0309607832827649e-07
10929,local_mod210_control,10929,10719,circular_residue_distance,7.0,7.0,0.0
10929,local_mod210_control,10929,10719,normalized_residue_distance,7.216725482979353e-07,7.216725482979353e-07,0.0
11151,local_any_control,11151,11150,circular_residue_distance,19.0,18.0,1.0
11151,local_any_control,11151,11150,normalized_residue_distance,1.958825488237253e-06,1.8557294099089764e-06,1.030960783282766e-07
11151,local_mod210_control,11151,10941,circular_residue_distance,19.0,19.0,0.0
11151,local_mod210_control,11151,10941,normalized_residue_distance,1.958825488237253e-06,1.958825488237253e-06,0.0
11361,local_any_control,11361,11360,circular_residue_distance,17.0,18.0,-1.0
11361,local_any_control,11361,11360,normalized_residue_distance,1.7526333315807e-06,1.8557294099089764e-06,-1.0309607832827638e-07
11361,local_mod210_control,11361,11571,circular_residue_distance,17.0,19.0,-2.0
11361,local_mod210_control,11361,11571,normalized_residue_distance,1.7526333315807e-06,1.958825488237253e-06,-2.0619215665655298e-07
11492,local_any_control,11492,11491,circular_residue_distance,56.0,57.0,-1.0
11492,local_any_control,11492,11491,normalized_residue_distance,5.773380386383483e-06,5.876476464711759e-06,-1.0309607832827638e-07
11492,local_mod210_control,11492,11282,circular_residue_distance,56.0,56.0,0.0
11492,local_mod210_control,11492,11282,normalized_residue_distance,5.773380386383483e-06,5.773380386383483e-06,0.0
11576,local_any_control,11576,11575,circular_residue_distance,24.0,23.0,1.0
11576,local_any_control,11576,11575,normalized_residue_distance,2.4743058798786353e-06,2.371209801550359e-06,1.0309607832827638e-07
11576,local_mod210_control,11576,11366,circular_residue_distance,24.0,12.0,12.0
11576,local_mod210_control,11576,11366,normalized_residue_distance,2.4743058798786353e-06,1.2371529399393177e-06,1.2371529399393177e-06
11608,local_any_control,11608,11607,circular_residue_distance,41.0,42.0,-1.0
11608,local_any_control,11608,11607,normalized_residue_distance,4.226939211459335e-06,4.3300352897876115e-06,-1.0309607832827638e-07
11608,local_mod210_control,11608,11398,circular_residue_distance,41.0,20.0,21.0
11608,local_mod210_control,11608,11398,normalized_residue_distance,4.226939211459335e-06,2.0619215665655294e-06,2.1650176448938058e-06
11912,local_any_control,11912,11911,circular_residue_distance,19.0,20.0,-1.0
11912,local_any_control,11912,11911,normalized_residue_distance,1.958825488237253e-06,2.0619215665655294e-06,-1.0309607832827638e-07
11912,local_mod210_control,11912,11702,circular_residue_distance,19.0,34.0,-15.0
11912,local_mod210_control,11912,11702,normalized_residue_distance,1.958825488237253e-06,3.5052666631614e-06,-1.546441174924147e-06
12021,local_any_control,12021,12020,circular_residue_distance,23.0,22.0,1.0
12021,local_any_control,12021,12020,normalized_residue_distance,2.371209801550359e-06,2.2681137232220826e-06,1.0309607832827638e-07
12021,local_mod210_control,12021,11811,circular_residue_distance,23.0,48.0,-25.0
12021,local_mod210_control,12021,11811,normalized_residue_distance,2.371209801550359e-06,4.948611759757271e-06,-2.5774019582069117e-06
