start,stop,length
1025012,1025012,1
1025098,1025098,1
1025192,1025192,1
1025218,1025218,1
1025222,1025222,1
1025428,1025428,1
1025432,1025432,1
1025522,1025522,1
1025529,1025529,1
1025541,1025541,1
1025638,1025638,1
1025642,1025642,1
1025739,1025739,1
1025758,1025758,1
1025781,1025781,1
1025841,1025841,1
1025848,1025848,1
1025852,1025852,1
1026058,1026058,1
1026062,1026062,1
1026088,1026088,1
1026182,1026182,1
1026243,1026243,1
1026268,1026268,1
1026272,1026272,1
1026321,1026321,1
1026418,1026418,1
1026478,1026478,1
1026482,1026482,1
1026489,1026489,1
1026512,1026512,1
1026633,1026633,1
1026688,1026688,1
1026692,1026692,1
1026736,1026736,1
1026748,1026748,1
1026842,1026842,1
1026898,1026898,1
1026902,1026902,1
1027078,1027078,1
1027101,1027101,1
1027108,1027108,1
1027112,1027112,1
1027172,1027172,1
1027221,1027221,1
1027316,1027316,1
1027318,1027318,1
1027322,1027322,1
1027347,1027347,1
1027408,1027408,1
1027419,1027419,1
1027448,1027448,1
1027472,1027472,1
1027502,1027502,1
1027528,1027528,1
1027532,1027532,1
1027588,1027588,1
1027738,1027738,1
1027742,1027742,1
1027809,1027809,1
1027828,1027828,1
1027832,1027832,1
1027948,1027948,1
1027952,1027952,1
1027954,1027954,1
1028012,1028012,1
1028030,1028030,1
1028068,1028068,1
1028158,1028158,1
1028162,1028162,1
1028199,1028199,1
1028218,1028218,1
1028271,1028271,1
1028289,1028289,1
1028368,1028368,1
1028372,1028372,1
1028398,1028398,1
1028492,1028492,1
1028578,1028578,1
1028582,1028582,1
1028728,1028728,1
1028751,1028751,1
1028788,1028788,1
1028792,1028792,1
1028799,1028799,1
1028818,1028818,1
1028822,1028822,1
1028912,1028912,1
1028979,1028979,1
1028998,1028998,1
1029002,1029002,1
1029004,1029004,1
1029034,1029034,1
1029058,1029058,1
1029099,1029099,1
1029129,1029129,1
1029152,1029152,1
1029166,1029166,1
1029208,1029208,1
1029212,1029212,1
1029302,1029302,1
1029358,1029358,1
1029369,1029369,1
1029388,1029388,1
1029411,1029411,1
1029418,1029418,1
1029422,1029422,1
1029482,1029482,1
1029628,1029628,1
1029632,1029632,1
1029718,1029718,1
1029785,1029785,1
1029800,1029800,1
1029812,1029812,1
1029838,1029838,1
1029842,1029842,1
1029999,1029999,1
1030048,1030048,1
1030052,1030052,1
1030119,1030119,1
1030142,1030142,1
1030149,1030149,1
1030221,1030221,1
1030258,1030258,1
1030262,1030262,1
1030281,1030281,1
1030292,1030292,1
1030348,1030348,1
1030371,1030371,1
1030378,1030378,1
1030468,1030468,1
1030472,1030472,1
1030509,1030509,1
1030552,1030552,1
1030678,1030678,1
1030682,1030682,1
1030708,1030708,1
1030791,1030791,1
1030802,1030802,1
1030804,1030804,1
1030858,1030858,1
1030888,1030888,1
